mol_id,mol_name,mol_url,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife,targets
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Dipeptidyl peptidase IV', 'target_id': '332', 'drugbank_id': '952'}, {'target_name': 'Heat shock protein HSP 90', 'target_id': '444', 'drugbank_id': '1939'}, {'target_name': 'Cell division protein kinase 2', 'target_id': '482', 'drugbank_id': '2240'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}, {'target_name': 'Trypsin-1', 'target_id': '2928', 'drugbank_id': '3176'}, {'target_name': 'Nuclear receptor coactivator 2', 'target_id': '3276', 'drugbank_id': '6241'}, {'target_name': 'Nuclear receptor coactivator 1', 'target_id': '3279', 'drugbank_id': '6228'}, {'target_name': 'Calmodulin', 'target_id': '3907', 'drugbank_id': '465'}, {'target_name': 'Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform', 'target_id': '491', 'drugbank_id': '2404'}, {'target_name': 'Serine/threonine-protein kinase Chk1', 'target_id': '647', 'drugbank_id': '5790'}, {'target_name': 'Beta-2 adrenergic receptor', 'target_id': '261', 'drugbank_id': '766'}, {'target_name': ""CGMP-inhibited 3',5'-cyclic phosphodiesterase A"", 'target_id': '172', 'drugbank_id': '485'}, {'target_name': 'Transcription factor p65', 'target_id': '4565', 'drugbank_id': 'N/A'}, {'target_name': 'Apoptosis regulator Bcl-2', 'target_id': '86', 'drugbank_id': '273'}, {'target_name': 'Cyclin-dependent kinase inhibitor 1', 'target_id': '4141', 'drugbank_id': 'N/A'}, {'target_name': 'Apoptosis regulator BAX', 'target_id': '4033', 'drugbank_id': 'N/A'}, {'target_name': 'Caspase-3', 'target_id': '4087', 'drugbank_id': 'N/A'}, {'target_name': 'Cellular tumor antigen p53', 'target_id': '646', 'drugbank_id': '5788'}, {'target_name': 'Caspase-8', 'target_id': '4089', 'drugbank_id': 'N/A'}, {'target_name': 'Fatty acid synthase', 'target_id': '374', 'drugbank_id': '1295'}, {'target_name': 'Tumor necrosis factor ligand superfamily member 6', 'target_id': '4584', 'drugbank_id': 'N/A'}, {'target_name': 'Cytochrome P450 19A1', 'target_id': '4148', 'drugbank_id': 'N/A'}]"
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,284.28,2.59,2,5,30.68,0.79,0.04,0.23,0.32,17.75,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Peroxisome proliferator activated receptor gamma', 'target_id': '78', 'drugbank_id': '238'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}, {'target_name': ""CGMP-inhibited 3',5'-cyclic phosphodiesterase A"", 'target_id': '172', 'drugbank_id': '485'}, {'target_name': 'Dipeptidyl peptidase IV', 'target_id': '332', 'drugbank_id': '952'}, {'target_name': 'Mitogen-activated protein kinase 14', 'target_id': '402', 'drugbank_id': '1540'}, {'target_name': 'Glycogen synthase kinase-3 beta', 'target_id': '422', 'drugbank_id': '1721'}, {'target_name': 'Heat shock protein HSP 90', 'target_id': '444', 'drugbank_id': '1939'}, {'target_name': 'Cell division protein kinase 2', 'target_id': '482', 'drugbank_id': '2240'}, {'target_name': 'Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform', 'target_id': '491', 'drugbank_id': '2404'}, {'target_name': 'Serine/threonine-protein kinase Chk1', 'target_id': '647', 'drugbank_id': '5790'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}, {'target_name': 'Trypsin-1', 'target_id': '2928', 'drugbank_id': '3176'}, {'target_name': 'Calmodulin', 'target_id': '3907', 'drugbank_id': '465'}, {'target_name': 'Beta-2 adrenergic receptor', 'target_id': '261', 'drugbank_id': '766'}, {'target_name': 'Gamma-aminobutyric acid receptor subunit alpha-1', 'target_id': '309', 'drugbank_id': '872'}, {'target_name': 'Transcription factor p65', 'target_id': '4565', 'drugbank_id': 'N/A'}, {'target_name': 'RAC-alpha serine/threonine-protein kinase', 'target_id': '4490', 'drugbank_id': 'N/A'}, {'target_name': 'G1/S-specific cyclin-D1', 'target_id': '4214', 'drugbank_id': 'N/A'}, {'target_name': 'Apoptosis regulator Bcl-2', 'target_id': '86', 'drugbank_id': '273'}, {'target_name': 'Cyclin-dependent kinase inhibitor 1', 'target_id': '4141', 'drugbank_id': 'N/A'}, {'target_name': 'Eukaryotic translation initiation factor 6', 'target_id': '4197', 'drugbank_id': 'N/A'}, {'target_name': 'Apoptosis regulator BAX', 'target_id': '4033', 'drugbank_id': 'N/A'}, {'target_name': 'Caspase-9', 'target_id': '4090', 'drugbank_id': 'N/A'}, {'target_name': 'Vascular endothelial growth factor receptor 2', 'target_id': '139', 'drugbank_id': '407'}, {'target_name': 'Tumor necrosis factor', 'target_id': '265', 'drugbank_id': '777'}, {'target_name': 'Transcription factor AP-1', 'target_id': '414', 'drugbank_id': '1629'}, {'target_name': 'Interleukin-6', 'target_id': '351', 'drugbank_id': '1159'}, {'target_name': 'Activator of 90 kDa heat shock protein ATPase homolog 1', 'target_id': '4007', 'drugbank_id': 'N/A'}, {'target_name': 'Caspase-3', 'target_id': '4087', 'drugbank_id': 'N/A'}, {'target_name': 'Cellular tumor antigen p53', 'target_id': '646', 'drugbank_id': '5788'}, {'target_name': 'Bcl-2-binding component 3', 'target_id': '4051', 'drugbank_id': 'N/A'}, {'target_name': 'Telomerase protein component 1', 'target_id': '4549', 'drugbank_id': 'N/A'}, {'target_name': 'Interstitial collagenase', 'target_id': '353', 'drugbank_id': '1167'}, {'target_name': 'C-C motif chemokine 2', 'target_id': '417', 'drugbank_id': '1649'}, {'target_name': 'Protein kinase C delta type', 'target_id': '4471', 'drugbank_id': 'N/A'}, {'target_name': 'Prostaglandin E2 receptor EP3 subtype', 'target_id': '593', 'drugbank_id': '4131'}, {'target_name': 'Fibronectin', 'target_id': '4206', 'drugbank_id': 'N/A'}, {'target_name': 'Interleukin-8', 'target_id': '4303', 'drugbank_id': 'N/A'}, {'target_name': 'Induced myeloid leukemia cell differentiation protein Mcl-1', 'target_id': '4269', 'drugbank_id': 'N/A'}]"
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,270.30,2.82,1,4,55.23,0.87,0.26,0.2,0.34,17.02,"[{'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Dopamine D1 receptor', 'target_id': '7', 'drugbank_id': '23'}, {'target_name': 'Muscarinic acetylcholine receptor M3', 'target_id': '16', 'drugbank_id': '51'}, {'target_name': 'Muscarinic acetylcholine receptor M1', 'target_id': '38', 'drugbank_id': '103'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}, {'target_name': ""CGMP-inhibited 3',5'-cyclic phosphodiesterase A"", 'target_id': '172', 'drugbank_id': '485'}, {'target_name': 'Alpha-1A adrenergic receptor', 'target_id': '191', 'drugbank_id': '556'}, {'target_name': 'Alpha-1B adrenergic receptor', 'target_id': '216', 'drugbank_id': '632'}, {'target_name': 'Sodium-dependent dopamine transporter', 'target_id': '239', 'drugbank_id': '713'}, {'target_name': 'Beta-2 adrenergic receptor', 'target_id': '261', 'drugbank_id': '766'}, {'target_name': 'Sodium-dependent serotonin transporter', 'target_id': '290', 'drugbank_id': '824'}, {'target_name': 'Gamma-aminobutyric acid receptor subunit alpha-1', 'target_id': '309', 'drugbank_id': '872'}, {'target_name': 'Heat shock protein HSP 90', 'target_id': '444', 'drugbank_id': '1939'}, {'target_name': 'Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform', 'target_id': '491', 'drugbank_id': '2404'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}, {'target_name': 'cAMP-dependent protein kinase inhibitor alpha', 'target_id': '3586', 'drugbank_id': '6264'}, {'target_name': 'Neuronal acetylcholine receptor protein, alpha-7 chain', 'target_id': '581', 'drugbank_id': '4095'}, {'target_name': 'Amine oxidase [flavin-containing] B', 'target_id': '565', 'drugbank_id': '3939'}, {'target_name': 'Calmodulin', 'target_id': '3907', 'drugbank_id': '465'}]"
MOL002714,baicalein,https://tcmsp-e.com/molecule.php?qn=2714,270.25,2.33,3,5,33.52,0.63,-0.05,0.21,0.36,16.25,"[{'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Heat shock protein HSP 90', 'target_id': '444', 'drugbank_id': '1939'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}, {'target_name': 'Dipeptidyl peptidase IV', 'target_id': '332', 'drugbank_id': '952'}, {'target_name': 'Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform', 'target_id': '491', 'drugbank_id': '2404'}, {'target_name': ""CGMP-inhibited 3',5'-cyclic phosphodiesterase A"", 'target_id': '172', 'drugbank_id': '485'}, {'target_name': 'Trypsin-1', 'target_id': '2928', 'drugbank_id': '3176'}, {'target_name': 'Nuclear receptor coactivator 2', 'target_id': '3276', 'drugbank_id': '6241'}, {'target_name': 'Nuclear receptor coactivator 1', 'target_id': '3279', 'drugbank_id': '6228'}, {'target_name': 'Calmodulin', 'target_id': '3907', 'drugbank_id': '465'}, {'target_name': 'Transcription factor p65', 'target_id': '4565', 'drugbank_id': 'N/A'}, {'target_name': 'RAC-alpha serine/threonine-protein kinase', 'target_id': '4490', 'drugbank_id': 'N/A'}, {'target_name': 'Vascular endothelial growth factor A', 'target_id': '740', 'drugbank_id': '183'}, {'target_name': 'Apoptosis regulator Bcl-2', 'target_id': '86', 'drugbank_id': '273'}, {'target_name': 'Proto-oncogene c-Fos', 'target_id': '4478', 'drugbank_id': 'N/A'}, {'target_name': 'Apoptosis regulator BAX', 'target_id': '4033', 'drugbank_id': 'N/A'}, {'target_name': 'Matrix metalloproteinase-9', 'target_id': '4334', 'drugbank_id': 'N/A'}, {'target_name': 'Caspase-3', 'target_id': '4087', 'drugbank_id': 'N/A'}, {'target_name': 'Cellular tumor antigen p53', 'target_id': '646', 'drugbank_id': '5788'}, {'target_name': 'Hypoxia-inducible factor 1-alpha', 'target_id': '4263', 'drugbank_id': 'N/A'}, {'target_name': 'Fos-related antigen 1', 'target_id': '4211', 'drugbank_id': 'N/A'}, {'target_name': 'Fos-related antigen 2', 'target_id': '4212', 'drugbank_id': 'N/A'}, {'target_name': 'Cell division control protein 2 homolog', 'target_id': '431', 'drugbank_id': '1771'}, {'target_name': 'G2/mitotic-specific cyclin-B1', 'target_id': '4219', 'drugbank_id': 'N/A'}, {'target_name': 'Myeloperoxidase', 'target_id': '428', 'drugbank_id': '1757'}, {'target_name': 'Aryl hydrocarbon receptor', 'target_id': '3204', 'drugbank_id': '6220'}, {'target_name': 'Insulin-like growth factor II', 'target_id': '4279', 'drugbank_id': 'N/A'}, {'target_name': 'Cytochrome c', 'target_id': '3611', 'drugbank_id': '1507'}, {'target_name': 'Arachidonate 12-lipoxygenase, 12S-type', 'target_id': '4629', 'drugbank_id': 'N/A'}, {'target_name': 'Nuclear factor of activated T-cells, cytoplasmic 1', 'target_id': '4399', 'drugbank_id': 'N/A'}, {'target_name': 'Tudor domain-containing protein 7', 'target_id': '4582', 'drugbank_id': 'N/A'}, {'target_name': 'Egl nine homolog 1', 'target_id': '3433', 'drugbank_id': '3960'}, {'target_name': 'NADPH oxidase 5', 'target_id': '4381', 'drugbank_id': 'N/A'}, {'target_name': 'Fatty acid-binding protein, epidermal', 'target_id': '4200', 'drugbank_id': 'N/A'}, {'target_name': 'Apolipoprotein D', 'target_id': '4032', 'drugbank_id': 'N/A'}]"
MOL002908,"5,8,2'-Trihydroxy-7-methoxyflavone",https://tcmsp-e.com/molecule.php?qn=2908,300.28,2.32,3,6,37.01,0.76,-0.07,0.27,0.28,16.17,[]
MOL002909,"5,7,2,5-tetrahydroxy-8,6-dimethoxyflavone",https://tcmsp-e.com/molecule.php?qn=2909,376.34,2.02,4,9,33.82,0.35,-0.59,0.45,0.19,15.94,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Thrombin', 'target_id': '17', 'drugbank_id': '54'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Coagulation factor Xa', 'target_id': '79', 'drugbank_id': '239'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'mRNA of Protein-tyrosine phosphatase, non-receptor type 1', 'target_id': '229', 'drugbank_id': '687'}, {'target_name': 'DNA topoisomerase II', 'target_id': '287', 'drugbank_id': '817'}, {'target_name': 'Dipeptidyl peptidase IV', 'target_id': '332', 'drugbank_id': '952'}, {'target_name': 'Glycogen phosphorylase, muscle form', 'target_id': '350', 'drugbank_id': '1152'}, {'target_name': 'Heat shock protein HSP 90', 'target_id': '444', 'drugbank_id': '1939'}, {'target_name': 'Trypsin-1', 'target_id': '2928', 'drugbank_id': '3176'}, {'target_name': 'Nuclear receptor coactivator 2', 'target_id': '3276', 'drugbank_id': '6241'}, {'target_name': 'Calcium-activated potassium channel subunit alpha 1', 'target_id': '3727', 'drugbank_id': '610'}]"
MOL002910,Carthamidin,https://tcmsp-e.com/molecule.php?qn=2910,288.27,2.03,4,6,41.15,0.16,-0.42,0.24,0.36,15.81,"[{'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Heat shock protein HSP 90', 'target_id': '444', 'drugbank_id': '1939'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}]"
MOL002911,"2,6,2',4'-tetrahydroxy-6'-methoxychaleone",https://tcmsp-e.com/molecule.php?qn=2911,302.30,2.62,4,6,69.04,-0.07,-0.32,0.22,0.34,21.89,[]
MOL002913,Dihydrobaicalin_qt,https://tcmsp-e.com/molecule.php?qn=2913,272.27,2.30,3,5,40.04,0.56,0.18,0.21,0.36,16.13,"[{'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Heat shock protein HSP 90', 'target_id': '444', 'drugbank_id': '1939'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}]"
MOL002914,Eriodyctiol (flavanone),https://tcmsp-e.com/molecule.php?qn=2914,288.27,2.03,4,6,41.35,0.05,-0.66,0.24,0.39,15.88,"[{'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Heat shock protein HSP 90', 'target_id': '444', 'drugbank_id': '1939'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}, {'target_name': 'Nuclear receptor coactivator 2', 'target_id': '3276', 'drugbank_id': '6241'}, {'target_name': 'Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform', 'target_id': '491', 'drugbank_id': '2404'}, {'target_name': 'Glycogen phosphorylase, muscle form', 'target_id': '350', 'drugbank_id': '1152'}, {'target_name': 'Calmodulin', 'target_id': '3907', 'drugbank_id': '465'}]"
