mol_id,mol_name,mol_url,target_name,target_id,drugbank_id
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,"Nitric-oxide synthase, endothelial",95,291
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,Gamma-aminobutyric acid receptor subunit alpha-1,309,872
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,Cytochrome P450-cam,1143,2298
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,Prostaglandin G/H synthase 2,94,290
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,Gamma-aminobutyric-acid receptor alpha-5 subunit,181,523
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,Alcohol dehydrogenase 1B,726,444
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,Alcohol dehydrogenase 1C,727,517
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,Neuronal acetylcholine receptor subunit alpha-2,284,813
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,Gamma-aminobutyric-acid receptor alpha-3 subunit,200,580
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,"Proline dehydrogenase, mitochondrial",4451,N/A
MOL001300,PEL,https://tcmsp-e.com/molecule.php?qn=1300,Alcohol dehydrogenase 1B,726,444
MOL001300,PEL,https://tcmsp-e.com/molecule.php?qn=1300,Alcohol dehydrogenase 1C,727,517
MOL001300,PEL,https://tcmsp-e.com/molecule.php?qn=1300,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,2262,2264
MOL001300,PEL,https://tcmsp-e.com/molecule.php?qn=1300,Trypsin-3,3952,2886
MOL001300,PEL,https://tcmsp-e.com/molecule.php?qn=1300,Alcohol dehydrogenase 1A,729,251
MOL001300,PEL,https://tcmsp-e.com/molecule.php?qn=1300,Amine oxidase [flavin-containing] A,566,3941
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,"Nitric oxide synthase, inducible",3,7
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Prostaglandin G/H synthase 1,6,20
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Androgen receptor,48,146
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Prostaglandin G/H synthase 2,94,290
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Dipeptidyl peptidase IV,332,952
