mol_id,mol_name,mol_url,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife,targets
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Coagulation factor Xa', 'target_id': '79', 'drugbank_id': '239'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}, {'target_name': 'Beta-2 adrenergic receptor', 'target_id': '261', 'drugbank_id': '766'}, {'target_name': 'Heat shock protein HSP 90', 'target_id': '444', 'drugbank_id': '1939'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}, {'target_name': 'Trypsin-1', 'target_id': '2928', 'drugbank_id': '3176'}, {'target_name': 'Nuclear receptor coactivator 2', 'target_id': '3276', 'drugbank_id': '6241'}, {'target_name': ""cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A"", 'target_id': '3868', 'drugbank_id': '695'}, {'target_name': 'Calmodulin', 'target_id': '3907', 'drugbank_id': '465'}]"
MOL013352,Obacunone,https://tcmsp-e.com/molecule.php?qn=13352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,[]
MOL002894,berberrubine,https://tcmsp-e.com/molecule.php?qn=2894,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}, {'target_name': 'Trypsin-1', 'target_id': '2928', 'drugbank_id': '3176'}, {'target_name': 'Nuclear receptor coactivator 2', 'target_id': '3276', 'drugbank_id': '6241'}, {'target_name': 'Calmodulin', 'target_id': '3907', 'drugbank_id': '465'}]"
MOL002897,epiberberine,https://tcmsp-e.com/molecule.php?qn=2897,336.39,3.45,0,4,43.09,1.17,0.40,0.78,0.19,6.10,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}, {'target_name': 'Trypsin-1', 'target_id': '2928', 'drugbank_id': '3176'}, {'target_name': 'Nuclear receptor coactivator 2', 'target_id': '3276', 'drugbank_id': '6241'}, {'target_name': ""cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A"", 'target_id': '3868', 'drugbank_id': '695'}]"
MOL002903,(R)-Canadine,https://tcmsp-e.com/molecule.php?qn=2903,339.42,3.40,0,5,55.37,1.04,0.57,0.77,0.20,6.41,"[{'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Muscarinic acetylcholine receptor M3', 'target_id': '16', 'drugbank_id': '51'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Muscarinic acetylcholine receptor M1', 'target_id': '38', 'drugbank_id': '103'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Coagulation factor Xa', 'target_id': '79', 'drugbank_id': '239'}, {'target_name': 'Muscarinic acetylcholine receptor M5', 'target_id': '87', 'drugbank_id': '274'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': '5-hydroxytryptamine receptor 3A', 'target_id': '113', 'drugbank_id': '341'}, {'target_name': 'Alpha-2C adrenergic receptor', 'target_id': '126', 'drugbank_id': '378'}, {'target_name': 'Muscarinic acetylcholine receptor M4', 'target_id': '154', 'drugbank_id': '450'}, {'target_name': 'Delta-type opioid receptor', 'target_id': '163', 'drugbank_id': '467'}, {'target_name': '5-hydroxytryptamine 2A receptor', 'target_id': '175', 'drugbank_id': '502'}, {'target_name': '5-hydroxytryptamine 2C receptor', 'target_id': '203', 'drugbank_id': '590'}, {'target_name': 'Alpha-1B adrenergic receptor', 'target_id': '216', 'drugbank_id': '632'}, {'target_name': 'Sodium-dependent dopamine transporter', 'target_id': '239', 'drugbank_id': '713'}, {'target_name': 'Beta-2 adrenergic receptor', 'target_id': '261', 'drugbank_id': '766'}, {'target_name': 'Alpha-1D adrenergic receptor', 'target_id': '272', 'drugbank_id': '789'}, {'target_name': 'Sodium-dependent serotonin transporter', 'target_id': '290', 'drugbank_id': '824'}, {'target_name': 'Mu-type opioid receptor', 'target_id': '299', 'drugbank_id': '847'}, {'target_name': 'Heat shock protein HSP 90', 'target_id': '444', 'drugbank_id': '1939'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}, {'target_name': ""cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A"", 'target_id': '3868', 'drugbank_id': '695'}, {'target_name': 'Calmodulin', 'target_id': '3907', 'drugbank_id': '465'}, {'target_name': 'Dopamine D1 receptor', 'target_id': '7', 'drugbank_id': '23'}, {'target_name': 'D(1B) dopamine receptor', 'target_id': '56', 'drugbank_id': '163'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}, {'target_name': 'Sodium-dependent noradrenaline transporter', 'target_id': '186', 'drugbank_id': '540'}, {'target_name': 'Alpha-1A adrenergic receptor', 'target_id': '191', 'drugbank_id': '556'}, {'target_name': 'Muscarinic acetylcholine receptor M2', 'target_id': '210', 'drugbank_id': '617'}, {'target_name': 'Calcium-activated potassium channel subunit alpha 1', 'target_id': '3727', 'drugbank_id': '610'}]"
MOL002904,Berlambine,https://tcmsp-e.com/molecule.php?qn=2904,351.38,2.49,0,6,36.68,0.97,0.17,0.82,0.28,7.33,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Muscarinic acetylcholine receptor M3', 'target_id': '16', 'drugbank_id': '51'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Coagulation factor Xa', 'target_id': '79', 'drugbank_id': '239'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Coagulation factor VII', 'target_id': '123', 'drugbank_id': '369'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}, {'target_name': 'Alpha-1B adrenergic receptor', 'target_id': '216', 'drugbank_id': '632'}, {'target_name': 'Beta-2 adrenergic receptor', 'target_id': '261', 'drugbank_id': '766'}, {'target_name': 'Alpha-1D adrenergic receptor', 'target_id': '272', 'drugbank_id': '789'}, {'target_name': 'Heat shock protein HSP 90', 'target_id': '444', 'drugbank_id': '1939'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}, {'target_name': 'Trypsin-1', 'target_id': '2928', 'drugbank_id': '3176'}, {'target_name': 'Nuclear receptor coactivator 2', 'target_id': '3276', 'drugbank_id': '6241'}, {'target_name': 'Calcium-activated potassium channel subunit alpha 1', 'target_id': '3727', 'drugbank_id': '610'}, {'target_name': 'Calmodulin', 'target_id': '3907', 'drugbank_id': '465'}]"
MOL002907,Corchoroside A_qt,https://tcmsp-e.com/molecule.php?qn=2907,404.55,1.34,3,6,104.95,-0.91,-1.31,0.78,0.29,6.68,"[{'target_name': 'Mineralocorticoid receptor', 'target_id': '252', 'drugbank_id': '737'}, {'target_name': 'Nuclear receptor coactivator 2', 'target_id': '3276', 'drugbank_id': '6241'}]"
MOL000622,Magnograndiolide,https://tcmsp-e.com/molecule.php?qn=622,266.37,1.18,2,4,63.71,0.02,-0.24,0.19,0.30,3.17,"[{'target_name': 'Gamma-aminobutyric-acid receptor alpha-2 subunit', 'target_id': '141', 'drugbank_id': '423'}, {'target_name': 'Gamma-aminobutyric acid receptor subunit alpha-1', 'target_id': '309', 'drugbank_id': '872'}, {'target_name': 'Glutamate receptor 2', 'target_id': '3216', 'drugbank_id': '921'}, {'target_name': 'Gamma-aminobutyric-acid receptor subunit alpha-6', 'target_id': '3284', 'drugbank_id': '841'}]"
MOL000762,Palmidin A,https://tcmsp-e.com/molecule.php?qn=762,510.52,4.52,6,8,35.36,-0.38,-1.47,0.65,0.39,33.17,[]
MOL000785,palmatine,https://tcmsp-e.com/molecule.php?qn=785,352.44,3.65,0,4,64.6,1.33,0.37,0.65,0.13,2.25,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}, {'target_name': 'Beta-2 adrenergic receptor', 'target_id': '261', 'drugbank_id': '766'}, {'target_name': 'Estrogen receptor beta', 'target_id': '307', 'drugbank_id': '869'}, {'target_name': 'Heat shock protein HSP 90', 'target_id': '444', 'drugbank_id': '1939'}, {'target_name': 'Trypsin-1', 'target_id': '2928', 'drugbank_id': '3176'}, {'target_name': 'Proto-oncogene serine/threonine-protein kinase Pim-1', 'target_id': '2966', 'drugbank_id': '2347'}, {'target_name': 'Nuclear receptor coactivator 2', 'target_id': '3276', 'drugbank_id': '6241'}, {'target_name': 'Calmodulin', 'target_id': '3907', 'drugbank_id': '465'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}, {'target_name': 'Cell division protein kinase 2', 'target_id': '482', 'drugbank_id': '2240'}, {'target_name': 'Coagulation factor VII', 'target_id': '123', 'drugbank_id': '369'}]"
