Herb,Ingredient Name,PubChem ID,Gene ID,Gene Name,Score
지모,Stigmasterol,5280794,8647,ABCB11,known target in HERB
지모,Stigmasterol,5280794,351,APP,known target in HERB
지모,Stigmasterol,5280794,7099,TLR4,known target in HERB
지모,Stigmasterol,5280794,207,AKT1,known target in text mining
지모,Stigmasterol,5280794,1244,ABCC2,known target in HERB
지모,Stigmasterol,5280794,23621,BACE1,known target in HERB
지모,Stigmasterol,5280794,10062,NR1H3,known target in HERB
지모,Stigmasterol,5280794,7376,NR1H2,known target in HERB
지모,Stigmasterol,5280794,9971,NR1H4,known target in HERB
지모,Stigmasterol,5280794,64240,ABCG5,known target in HERB
지모,Stigmasterol,5280794,64241,ABCG8,known target in HERB
지모,Stigmasterol,5280794,26253,CLEC4E,0.97
지모,Stigmasterol,5280794,6095,RORA,0.97
지모,Stigmasterol,5280794,7421,VDR,0.97
지모,Stigmasterol,5280794,9970,NR1I3,0.97
지모,Stigmasterol,5280794,6646,SOAT1,0.96
지모,Stigmasterol,5280794,290,ANPEP,0.96
지모,Stigmasterol,5280794,29881,NPC1L1,0.96
지모,Stigmasterol,5280794,55879,GABRQ,0.89
지모,Stigmasterol,5280794,2905,GRIN2C,0.89
지모,Stigmasterol,5280794,2556,GABRA3,0.89
지모,Stigmasterol,5280794,6820,SULT2B1,0.89
지모,Stigmasterol,5280794,2554,GABRA1,0.89
지모,Stigmasterol,5280794,2562,GABRB3,0.89
지모,Stigmasterol,5280794,2559,GABRA6,0.89
지모,Stigmasterol,5280794,2560,GABRB1,0.89
지모,Stigmasterol,5280794,8856,NR1I2,0.89
지모,Stigmasterol,5280794,2561,GABRB2,0.89
지모,Stigmasterol,5280794,2565,GABRG1,0.89
지모,Stigmasterol,5280794,2566,GABRG2,0.89
지모,Stigmasterol,5280794,116443,GRIN3A,0.89
황백,beta-sitosterol,222284,836,CASP3,known target in HIT
황백,beta-sitosterol,222284,5578,PRKCA,known target in HIT
황백,beta-sitosterol,222284,842,CASP9,known target in HIT
황백,beta-sitosterol,222284,4133,MAP2,known target in HIT
황백,beta-sitosterol,222284,5563,PRKAA2,known target in HIT
황백,beta-sitosterol,222284,596,BCL2,known target in HIT
황백,beta-sitosterol,222284,841,CASP8,known target in HIT
황백,beta-sitosterol,222284,581,BAX,known target in HIT
황백,beta-sitosterol,222284,7040,TGFB1,known target in HIT
황백,beta-sitosterol,222284,1906,EDN1,known target in HIT
황백,beta-sitosterol,222284,9970,NR1I3,0.97
황백,beta-sitosterol,222284,26253,CLEC4E,0.97
황백,beta-sitosterol,222284,6095,RORA,0.97
황백,beta-sitosterol,222284,7421,VDR,0.97
황백,beta-sitosterol,222284,55879,GABRQ,0.89
황백,beta-sitosterol,222284,2556,GABRA3,0.89
황백,beta-sitosterol,222284,2559,GABRA6,0.89
황백,beta-sitosterol,222284,8856,NR1I2,0.89
황백,beta-sitosterol,222284,2561,GABRB2,0.89
황백,beta-sitosterol,222284,2565,GABRG1,0.89
황백,beta-sitosterol,222284,116443,GRIN3A,0.89
황백,beta-sitosterol,222284,2567,GABRG3,0.89
황백,beta-sitosterol,222284,10280,SIGMAR1,0.89
황백,beta-sitosterol,222284,2100,ESR2,0.89
황백,beta-sitosterol,222284,2904,GRIN2B,0.89
황백,beta-sitosterol,222284,2563,GABRD,0.89
황백,beta-sitosterol,222284,367,AR,0.89
황백,beta-sitosterol,222284,2555,GABRA2,0.89
황백,beta-sitosterol,222284,2099,ESR1,0.89
황백,beta-sitosterol,222284,2557,GABRA4,0.89
황금,sitosterol,12303645,7412,VCAM1,known target in HIT
황금,sitosterol,12303645,2099,ESR1,known target in HIT
황금,sitosterol,12303645,26253,CLEC4E,0.97
황금,sitosterol,12303645,6095,RORA,0.97
황금,sitosterol,12303645,7421,VDR,0.97
황금,sitosterol,12303645,9970,NR1I3,0.97
황금,sitosterol,12303645,55879,GABRQ,0.89
황금,sitosterol,12303645,2905,GRIN2C,0.89
황금,sitosterol,12303645,2556,GABRA3,0.89
황금,sitosterol,12303645,6820,SULT2B1,0.89
황금,sitosterol,12303645,2554,GABRA1,0.89
황금,sitosterol,12303645,2562,GABRB3,0.89
황금,sitosterol,12303645,2559,GABRA6,0.89
황금,sitosterol,12303645,2560,GABRB1,0.89
