STRING ID A,STRING ID B,Protein A,Protein B,NCBI Taxon ID,Combined Score
9606.ENSP00000003084,9606.ENSP00000262613,CFTR,SLC9A3R1,9606,0.999
9606.ENSP00000003084,9606.ENSP00000357484,CFTR,GOPC,9606,0.992
9606.ENSP00000003084,9606.ENSP00000437125,CFTR,HSPA8,9606,0.986
9606.ENSP00000003084,9606.ENSP00000335153,CFTR,HSP90AA1,9606,0.986
9606.ENSP00000003084,9606.ENSP00000309591,CFTR,PRKACA,9606,0.982
9606.ENSP00000003084,9606.ENSP00000364235,CFTR,RNF5,9606,0.979
9606.ENSP00000003084,9606.ENSP00000366488,CFTR,PRKACG,9606,0.976
9606.ENSP00000003084,9606.ENSP00000359719,CFTR,PRKACB,9606,0.976
9606.ENSP00000003084,9606.ENSP00000408005,CFTR,SLC9A3R2,9606,0.975
9606.ENSP00000003084,9606.ENSP00000219548,CFTR,STUB1,9606,0.97
9606.ENSP00000006053,9606.ENSP00000351059,CX3CL1,CX3CR1,9606,0.999
9606.ENSP00000006053,9606.ENSP00000292301,CX3CL1,CCR2,9606,0.997
9606.ENSP00000006053,9606.ENSP00000386884,CX3CL1,CXCR4,9606,0.995
9606.ENSP00000006053,9606.ENSP00000295683,CX3CL1,CXCR1,9606,0.994
9606.ENSP00000006053,9606.ENSP00000302234,CX3CL1,CCL11,9606,0.992
9606.ENSP00000006053,9606.ENSP00000362795,CX3CL1,CXCR3,9606,0.99
9606.ENSP00000006053,9606.ENSP00000292303,CX3CL1,CCR5,9606,0.977
9606.ENSP00000006053,9606.ENSP00000474412,CX3CL1,CCL5,9606,0.971
9606.ENSP00000006053,9606.ENSP00000264498,CX3CL1,FGF2,9606,0.971
9606.ENSP00000006053,9606.ENSP00000311035,CX3CL1,CD200R1,9606,0.971
9606.ENSP00000011653,9606.ENSP00000477713,CD4,LCK,9606,0.999
9606.ENSP00000011653,9606.ENSP00000292303,CD4,CCR5,9606,0.999
9606.ENSP00000011653,9606.ENSP00000386559,CD4,CD8A,9606,0.999
9606.ENSP00000011653,9606.ENSP00000266041,CD4,ITIH4,9606,0.999
9606.ENSP00000011653,9606.ENSP00000386884,CD4,CXCR4,9606,0.999
9606.ENSP00000011653,9606.ENSP00000302935,CD4,IL16,9606,0.998
9606.ENSP00000011653,9606.ENSP00000378786,CD4,HLA-DRA,9606,0.997
9606.ENSP00000011653,9606.ENSP00000342681,CD4,CD5,9606,0.997
9606.ENSP00000011653,9606.ENSP00000358490,CD4,CD2,9606,0.996
9606.ENSP00000011653,9606.ENSP00000419945,CD4,ERVW-1,9606,0.996
9606.ENSP00000037502,9606.ENSP00000423067,MYOC,WDR36,9606,0.969
9606.ENSP00000037502,9606.ENSP00000345192,MYOC,OLFM3,9606,0.963
9606.ENSP00000037502,9606.ENSP00000368022,MYOC,OPTN,9606,0.95
9606.ENSP00000037502,9606.ENSP00000478561,MYOC,CYP1B1,9606,0.944
9606.ENSP00000037502,9606.ENSP00000325527,MYOC,FBN1,9606,0.909
9606.ENSP00000037502,9606.ENSP00000365569,MYOC,FLOT1,9606,0.898
9606.ENSP00000037502,9606.ENSP00000391137,MYOC,ASB10,9606,0.871
9606.ENSP00000037502,9606.ENSP00000414856,MYOC,SPARCL1,9606,0.856
9606.ENSP00000037502,9606.ENSP00000346839,MYOC,FN1,9606,0.777
9606.ENSP00000037502,9606.ENSP00000391601,MYOC,PEX5,9606,0.753
9606.ENSP00000160262,9606.ENSP00000315477,ICAM3,CD209,9606,0.999
9606.ENSP00000160262,9606.ENSP00000380948,ICAM3,ITGB2,9606,0.999
9606.ENSP00000160262,9606.ENSP00000349252,ICAM3,ITGAL,9606,0.999
9606.ENSP00000160262,9606.ENSP00000316228,ICAM3,CLEC4M,9606,0.992
9606.ENSP00000160262,9606.ENSP00000415283,ICAM3,ICAM2,9606,0.965
9606.ENSP00000160262,9606.ENSP00000264832,ICAM3,ICAM1,9606,0.964
9606.ENSP00000160262,9606.ENSP00000353408,ICAM3,MSN,9606,0.829
9606.ENSP00000160262,9606.ENSP00000266041,ICAM3,ITIH4,9606,0.805
9606.ENSP00000160262,9606.ENSP00000294728,ICAM3,VCAM1,9606,0.797
9606.ENSP00000160262,9606.ENSP00000419945,ICAM3,ERVW-1,9606,0.756
9606.ENSP00000162749,9606.ENSP00000403495,TNFRSF1A,LTA,9606,0.999
9606.ENSP00000162749,9606.ENSP00000477613,TNFRSF1A,BIRC2,9606,0.999
9606.ENSP00000162749,9606.ENSP00000261464,TNFRSF1A,TRAF5,9606,0.999
9606.ENSP00000162749,9606.ENSP00000392025,TNFRSF1A,CYLD,9606,0.999
9606.ENSP00000162749,9606.ENSP00000341268,TNFRSF1A,TRADD,9606,0.999
9606.ENSP00000162749,9606.ENSP00000430684,TNFRSF1A,IKBKB,9606,0.999
9606.ENSP00000162749,9606.ENSP00000398698,TNFRSF1A,TNF,9606,0.999
9606.ENSP00000162749,9606.ENSP00000359424,TNFRSF1A,CHUK,9606,0.999
9606.ENSP00000162749,9606.ENSP00000259808,TNFRSF1A,RIPK1,9606,0.999
9606.ENSP00000162749,9606.ENSP00000247668,TNFRSF1A,TRAF2,9606,0.999
