mol_id,mol_name,mol_url,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife
MOL001494,Mandenol,https://tcmsp-e.com/molecule.php?qn=1494,308.56,6.99,0,2,42.0,1.46,1.14,0.19,0.25,5.39
MOL002372,"(6Z,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene",https://tcmsp-e.com/molecule.php?qn=2372,410.80,11.33,0,0,33.55,2.07,1.77,0.42,0.27,3.15
MOL002883,Ethyl oleate (NF),https://tcmsp-e.com/molecule.php?qn=2883,310.58,7.44,0,2,32.4,1.40,1.10,0.19,0.19,4.85
MOL000359,sitosterol,https://tcmsp-e.com/molecule.php?qn=359,414.79,8.08,1,1,36.91,1.32,0.87,0.75,0.22,5.37
MOL007714,1-methoxyacetylshikonin,https://tcmsp-e.com/molecule.php?qn=7714,344.39,3.06,1,6,73.09,0.24,-0.51,0.29,0.36,29.69
MOL007715,"[(1R)-1-(5,8-dihydroxy-1,4-dioxo-2-naphthyl)-4-methyl-pent-3-enyl] propanoate",https://tcmsp-e.com/molecule.php?qn=7715,344.39,3.44,2,6,54.64,0.25,-0.30,0.29,0.36,28.17
MOL007716,acetylshikonin,https://tcmsp-e.com/molecule.php?qn=7716,330.36,2.77,2,6,62.39,0.30,-0.31,0.27,0.35,29.08
MOL007719,Arnebin 7,https://tcmsp-e.com/molecule.php?qn=7719,272.32,3.50,2,4,73.85,0.74,0.07,0.18,0.36,29.63
MOL007722,Isoarnebin 4,https://tcmsp-e.com/molecule.php?qn=7722,288.32,2.39,3,5,64.79,0.06,-0.65,0.2,0.37,29.33
MOL007728,lithospermidin A,https://tcmsp-e.com/molecule.php?qn=7728,388.45,3.08,3,7,75.08,-0.13,-0.69,0.38,0.35,27.50
MOL007734,"5-[(E)-5-(3-furyl)-2-methyl-pent-2-enyl]-2,3-dimethoxy-p-benzoquinone",https://tcmsp-e.com/molecule.php?qn=7734,316.38,2.28,0,5,61.8,0.92,0.32,0.24,0.19,-11.11
MOL007735,Des-O-methyllasiodiplodin,https://tcmsp-e.com/molecule.php?qn=7735,278.38,4.34,2,4,30.12,0.83,0.46,0.2,0.29,5.06
MOL007736,Lithospermidin B,https://tcmsp-e.com/molecule.php?qn=7736,388.45,2.87,3,7,60.48,-0.16,-0.74,0.39,0.34,26.02
