mol_id,mol_name,target_name,target_id,drugbank_id,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife,mol_url
MOL001494,Mandenol,Prostaglandin G/H synthase 1,6,20,308.56,6.99,0,2,42.0,1.46,1.14,0.19,0.25,5.39,https://tcmsp-e.com/molecule.php?qn=1494
MOL001494,Mandenol,Prostaglandin G/H synthase 2,94,290,308.56,6.99,0,2,42.0,1.46,1.14,0.19,0.25,5.39,https://tcmsp-e.com/molecule.php?qn=1494
MOL001494,Mandenol,Nuclear receptor coactivator 2,3276,6241,308.56,6.99,0,2,42.0,1.46,1.14,0.19,0.25,5.39,https://tcmsp-e.com/molecule.php?qn=1494
MOL002372,"(6Z,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene",N/A,N/A,N/A,410.80,11.33,0,0,33.55,2.07,1.77,0.42,0.27,3.15,https://tcmsp-e.com/molecule.php?qn=2372
MOL002883,Ethyl oleate (NF),Nuclear receptor coactivator 2,3276,6241,310.58,7.44,0,2,32.4,1.40,1.10,0.19,0.19,4.85,https://tcmsp-e.com/molecule.php?qn=2883
MOL000359,sitosterol,Progesterone receptor,209,614,414.79,8.08,1,1,36.91,1.32,0.87,0.75,0.22,5.37,https://tcmsp-e.com/molecule.php?qn=359
MOL000359,sitosterol,Nuclear receptor coactivator 2,3276,6241,414.79,8.08,1,1,36.91,1.32,0.87,0.75,0.22,5.37,https://tcmsp-e.com/molecule.php?qn=359
MOL000359,sitosterol,Mineralocorticoid receptor,252,737,414.79,8.08,1,1,36.91,1.32,0.87,0.75,0.22,5.37,https://tcmsp-e.com/molecule.php?qn=359
MOL007714,1-methoxyacetylshikonin,Prostaglandin G/H synthase 1,6,20,344.39,3.06,1,6,73.09,0.24,-0.51,0.29,0.36,29.69,https://tcmsp-e.com/molecule.php?qn=7714
MOL007714,1-methoxyacetylshikonin,Potassium voltage-gated channel subfamily H member 2,37,101,344.39,3.06,1,6,73.09,0.24,-0.51,0.29,0.36,29.69,https://tcmsp-e.com/molecule.php?qn=7714
MOL007714,1-methoxyacetylshikonin,Estrogen receptor,46,136,344.39,3.06,1,6,73.09,0.24,-0.51,0.29,0.36,29.69,https://tcmsp-e.com/molecule.php?qn=7714
MOL007714,1-methoxyacetylshikonin,Sodium channel protein type 5 subunit alpha,70,220,344.39,3.06,1,6,73.09,0.24,-0.51,0.29,0.36,29.69,https://tcmsp-e.com/molecule.php?qn=7714
MOL007714,1-methoxyacetylshikonin,Coagulation factor Xa,79,239,344.39,3.06,1,6,73.09,0.24,-0.51,0.29,0.36,29.69,https://tcmsp-e.com/molecule.php?qn=7714
MOL007714,1-methoxyacetylshikonin,Prostaglandin G/H synthase 2,94,290,344.39,3.06,1,6,73.09,0.24,-0.51,0.29,0.36,29.69,https://tcmsp-e.com/molecule.php?qn=7714
MOL007714,1-methoxyacetylshikonin,"Nitric-oxide synthase, endothelial",95,291,344.39,3.06,1,6,73.09,0.24,-0.51,0.29,0.36,29.69,https://tcmsp-e.com/molecule.php?qn=7714
MOL007714,1-methoxyacetylshikonin,Vascular endothelial growth factor receptor 2,139,407,344.39,3.06,1,6,73.09,0.24,-0.51,0.29,0.36,29.69,https://tcmsp-e.com/molecule.php?qn=7714
MOL007714,1-methoxyacetylshikonin,"mRNA of Protein-tyrosine phosphatase, non-receptor type 1",229,687,344.39,3.06,1,6,73.09,0.24,-0.51,0.29,0.36,29.69,https://tcmsp-e.com/molecule.php?qn=7714
MOL007714,1-methoxyacetylshikonin,DNA topoisomerase II,287,817,344.39,3.06,1,6,73.09,0.24,-0.51,0.29,0.36,29.69,https://tcmsp-e.com/molecule.php?qn=7714
MOL007714,1-methoxyacetylshikonin,Heat shock protein HSP 90,444,1939,344.39,3.06,1,6,73.09,0.24,-0.51,0.29,0.36,29.69,https://tcmsp-e.com/molecule.php?qn=7714
MOL007714,1-methoxyacetylshikonin,Beta-lactamase,499,2478,344.39,3.06,1,6,73.09,0.24,-0.51,0.29,0.36,29.69,https://tcmsp-e.com/molecule.php?qn=7714
MOL007714,1-methoxyacetylshikonin,Nuclear receptor coactivator 1,3279,6228,344.39,3.06,1,6,73.09,0.24,-0.51,0.29,0.36,29.69,https://tcmsp-e.com/molecule.php?qn=7714
MOL007714,1-methoxyacetylshikonin,Calcium-activated potassium channel subunit alpha 1,3727,610,344.39,3.06,1,6,73.09,0.24,-0.51,0.29,0.36,29.69,https://tcmsp-e.com/molecule.php?qn=7714
MOL007715,"[(1R)-1-(5,8-dihydroxy-1,4-dioxo-2-naphthyl)-4-methyl-pent-3-enyl] propanoate",Prostaglandin G/H synthase 1,6,20,344.39,3.44,2,6,54.64,0.25,-0.30,0.29,0.36,28.17,https://tcmsp-e.com/molecule.php?qn=7715
MOL007715,"[(1R)-1-(5,8-dihydroxy-1,4-dioxo-2-naphthyl)-4-methyl-pent-3-enyl] propanoate",Estrogen receptor,46,136,344.39,3.44,2,6,54.64,0.25,-0.30,0.29,0.36,28.17,https://tcmsp-e.com/molecule.php?qn=7715
MOL007715,"[(1R)-1-(5,8-dihydroxy-1,4-dioxo-2-naphthyl)-4-methyl-pent-3-enyl] propanoate",Androgen receptor,48,146,344.39,3.44,2,6,54.64,0.25,-0.30,0.29,0.36,28.17,https://tcmsp-e.com/molecule.php?qn=7715
MOL007715,"[(1R)-1-(5,8-dihydroxy-1,4-dioxo-2-naphthyl)-4-methyl-pent-3-enyl] propanoate",Peroxisome proliferator activated receptor gamma,78,238,344.39,3.44,2,6,54.64,0.25,-0.30,0.29,0.36,28.17,https://tcmsp-e.com/molecule.php?qn=7715
MOL007715,"[(1R)-1-(5,8-dihydroxy-1,4-dioxo-2-naphthyl)-4-methyl-pent-3-enyl] propanoate",Coagulation factor Xa,79,239,344.39,3.44,2,6,54.64,0.25,-0.30,0.29,0.36,28.17,https://tcmsp-e.com/molecule.php?qn=7715
MOL007715,"[(1R)-1-(5,8-dihydroxy-1,4-dioxo-2-naphthyl)-4-methyl-pent-3-enyl] propanoate",Prostaglandin G/H synthase 2,94,290,344.39,3.44,2,6,54.64,0.25,-0.30,0.29,0.36,28.17,https://tcmsp-e.com/molecule.php?qn=7715
MOL007715,"[(1R)-1-(5,8-dihydroxy-1,4-dioxo-2-naphthyl)-4-methyl-pent-3-enyl] propanoate",Carbonic anhydrase II,117,357,344.39,3.44,2,6,54.64,0.25,-0.30,0.29,0.36,28.17,https://tcmsp-e.com/molecule.php?qn=7715
MOL007715,"[(1R)-1-(5,8-dihydroxy-1,4-dioxo-2-naphthyl)-4-methyl-pent-3-enyl] propanoate",Vascular endothelial growth factor receptor 2,139,407,344.39,3.44,2,6,54.64,0.25,-0.30,0.29,0.36,28.17,https://tcmsp-e.com/molecule.php?qn=7715
MOL007715,"[(1R)-1-(5,8-dihydroxy-1,4-dioxo-2-naphthyl)-4-methyl-pent-3-enyl] propanoate",DNA topoisomerase II,287,817,344.39,3.44,2,6,54.64,0.25,-0.30,0.29,0.36,28.17,https://tcmsp-e.com/molecule.php?qn=7715
MOL007715,"[(1R)-1-(5,8-dihydroxy-1,4-dioxo-2-naphthyl)-4-methyl-pent-3-enyl] propanoate",Heat shock protein HSP 90,444,1939,344.39,3.44,2,6,54.64,0.25,-0.30,0.29,0.36,28.17,https://tcmsp-e.com/molecule.php?qn=7715
MOL007715,"[(1R)-1-(5,8-dihydroxy-1,4-dioxo-2-naphthyl)-4-methyl-pent-3-enyl] propanoate",Cell division protein kinase 2,482,2240,344.39,3.44,2,6,54.64,0.25,-0.30,0.29,0.36,28.17,https://tcmsp-e.com/molecule.php?qn=7715
MOL007715,"[(1R)-1-(5,8-dihydroxy-1,4-dioxo-2-naphthyl)-4-methyl-pent-3-enyl] propanoate",Beta-lactamase,499,2478,344.39,3.44,2,6,54.64,0.25,-0.30,0.29,0.36,28.17,https://tcmsp-e.com/molecule.php?qn=7715
MOL007715,"[(1R)-1-(5,8-dihydroxy-1,4-dioxo-2-naphthyl)-4-methyl-pent-3-enyl] propanoate",Proto-oncogene serine/threonine-protein kinase Pim-1,2966,2347,344.39,3.44,2,6,54.64,0.25,-0.30,0.29,0.36,28.17,https://tcmsp-e.com/molecule.php?qn=7715
