mol_id,mol_name,mol_url,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife
MOL000131,EIC,https://tcmsp-e.com/molecule.php?qn=131,280.50,6.39,1,2,41.9,1.16,0.90,0.14,0.25,7.50
MOL001492,Ethyl icosanoate,https://tcmsp-e.com/molecule.php?qn=1492,340.66,8.79,0,2,16.67,1.40,1.18,0.25,0.18,
MOL001493,ETHYL MARGARATE,https://tcmsp-e.com/molecule.php?qn=1493,298.57,7.42,0,2,18.31,1.39,1.18,0.16,0.19,
MOL001494,Mandenol,https://tcmsp-e.com/molecule.php?qn=1494,308.56,6.99,0,2,42.0,1.46,1.14,0.19,0.25,5.39
MOL001498,Ethyl stearate,https://tcmsp-e.com/molecule.php?qn=1498,312.60,7.88,0,2,17.7,1.37,1.22,0.19,0.18,
MOL001499,Ethyl tetracosanate,https://tcmsp-e.com/molecule.php?qn=1499,396.78,10.62,0,2,15.07,1.46,1.20,0.4,0.17,
MOL000223,caffeic acid,https://tcmsp-e.com/molecule.php?qn=223,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL002372,"(6Z,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene",https://tcmsp-e.com/molecule.php?qn=2372,410.80,11.33,0,0,33.55,2.07,1.77,0.42,0.27,3.15
MOL000263,oleanolic acid,https://tcmsp-e.com/molecule.php?qn=263,456.78,6.42,2,3,29.02,0.59,0.07,0.76,0.25,
MOL002691,Iva,https://tcmsp-e.com/molecule.php?qn=2691,102.15,1.15,1,2,62.17,0.82,1.09,0.01,0.29,11.36
MOL002883,Ethyl oleate (NF),https://tcmsp-e.com/molecule.php?qn=2883,310.58,7.44,0,2,32.4,1.40,1.10,0.19,0.19,4.85
MOL000359,sitosterol,https://tcmsp-e.com/molecule.php?qn=359,414.79,8.08,1,1,36.91,1.32,0.87,0.75,0.22,5.37
MOL003616,Isobutyryl shikonin,https://tcmsp-e.com/molecule.php?qn=3616,358.42,3.90,2,6,6.48,0.35,-0.18,0.32,0.36,
MOL003619,"[(1R)-1-(5,8-dihydroxy-1,4-dioxo-2-naphthyl)-4-methyl-pent-3-enyl] 3-methylbutanoate",https://tcmsp-e.com/molecule.php?qn=3619,372.45,4.15,2,6,6.11,0.38,-0.15,0.35,0.34,
