mol_id,mol_name,target_name,target_id,drugbank_id,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife
MOL000131,EIC,Prostaglandin G/H synthase 1,6,20,280.50,6.39,1,2,41.9,1.16,0.90,0.14,0.25,7.50
MOL000131,EIC,Prostaglandin G/H synthase 2,94,290,280.50,6.39,1,2,41.9,1.16,0.90,0.14,0.25,7.50
MOL000131,EIC,Retinoic acid receptor RXR-alpha,158,459,280.50,6.39,1,2,41.9,1.16,0.90,0.14,0.25,7.50
MOL000131,EIC,Nuclear receptor coactivator 2,3276,6241,280.50,6.39,1,2,41.9,1.16,0.90,0.14,0.25,7.50
MOL000131,EIC,Lysozyme,1172,2300,280.50,6.39,1,2,41.9,1.16,0.90,0.14,0.25,7.50
MOL000131,EIC,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,2262,2264,280.50,6.39,1,2,41.9,1.16,0.90,0.14,0.25,7.50
MOL000131,EIC,Sodium-dependent noradrenaline transporter,186,540,280.50,6.39,1,2,41.9,1.16,0.90,0.14,0.25,7.50
MOL000131,EIC,Ig gamma-1 chain C region,1201,4785,280.50,6.39,1,2,41.9,1.16,0.90,0.14,0.25,7.50
MOL000131,EIC,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423,280.50,6.39,1,2,41.9,1.16,0.90,0.14,0.25,7.50
MOL000131,EIC,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,280.50,6.39,1,2,41.9,1.16,0.90,0.14,0.25,7.50
MOL000131,EIC,Cytochrome P450-cam,1143,2298,280.50,6.39,1,2,41.9,1.16,0.90,0.14,0.25,7.50
MOL000131,EIC,Transient receptor potential cation channel subfamily V member 1,404,1558,280.50,6.39,1,2,41.9,1.16,0.90,0.14,0.25,7.50
MOL000131,EIC,Muscarinic acetylcholine receptor M1,38,103,280.50,6.39,1,2,41.9,1.16,0.90,0.14,0.25,7.50
MOL000131,EIC,Muscarinic acetylcholine receptor M2,210,617,280.50,6.39,1,2,41.9,1.16,0.90,0.14,0.25,7.50
MOL000131,EIC,Gamma-aminobutyric-acid receptor subunit alpha-6,3284,841,280.50,6.39,1,2,41.9,1.16,0.90,0.14,0.25,7.50
MOL001492,Ethyl icosanoate,N/A,N/A,N/A,340.66,8.79,0,2,16.67,1.40,1.18,0.25,0.18,
MOL001493,ETHYL MARGARATE,N/A,N/A,N/A,298.57,7.42,0,2,18.31,1.39,1.18,0.16,0.19,
MOL001494,Mandenol,Prostaglandin G/H synthase 1,6,20,308.56,6.99,0,2,42.0,1.46,1.14,0.19,0.25,5.39
MOL001494,Mandenol,Prostaglandin G/H synthase 2,94,290,308.56,6.99,0,2,42.0,1.46,1.14,0.19,0.25,5.39
MOL001494,Mandenol,Nuclear receptor coactivator 2,3276,6241,308.56,6.99,0,2,42.0,1.46,1.14,0.19,0.25,5.39
MOL001498,Ethyl stearate,N/A,N/A,N/A,312.60,7.88,0,2,17.7,1.37,1.22,0.19,0.18,
MOL001499,Ethyl tetracosanate,N/A,N/A,N/A,396.78,10.62,0,2,15.07,1.46,1.20,0.4,0.17,
MOL000223,caffeic acid,Prostaglandin G/H synthase 1,6,20,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Beta-1 adrenergic receptor,63,193,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Prostaglandin G/H synthase 2,94,290,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Alpha-2A adrenergic receptor,105,318,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Alpha-2C adrenergic receptor,126,378,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Beta-2 adrenergic receptor,261,766,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Amine oxidase [flavin-containing] B,565,3939,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Chymotrypsinogen B,1696,6011,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Sodium-dependent dopamine transporter,239,713,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Aldose reductase,288,822,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Urokinase-type plasminogen activator,346,1074,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Amine oxidase [flavin-containing] A,566,3941,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Lysozyme,1172,2300,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Alpha-1A adrenergic receptor,191,556,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Alpha-1D adrenergic receptor,272,789,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Tumor necrosis factor,265,777,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Cytochrome P450 1A1,4149,N/A,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Protein kinase C beta type,4470,N/A,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Tyrosine-protein kinase BTK,488,2355,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Glial fibrillary acidic protein,4226,N/A,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Insulin-like growth factor II,4279,N/A,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,P-selectin,462,2058,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL000223,caffeic acid,Ras-related C3 botulinum toxin substrate 1,3828,1882,180.17,1.37,3,4,25.76,0.21,-0.26,0.05,0.44,
MOL002372,"(6Z,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene",N/A,N/A,N/A,410.80,11.33,0,0,33.55,2.07,1.77,0.42,0.27,3.15
MOL000263,oleanolic acid,Caspase-9,4090,N/A,456.78,6.42,2,3,29.02,0.59,0.07,0.76,0.25,
MOL000263,oleanolic acid,Caspase-3,4087,N/A,456.78,6.42,2,3,29.02,0.59,0.07,0.76,0.25,
MOL000263,oleanolic acid,Heme oxygenase 1,2132,3391,456.78,6.42,2,3,29.02,0.59,0.07,0.76,0.25,
MOL000263,oleanolic acid,Intercellular adhesion molecule 1,4287,N/A,456.78,6.42,2,3,29.02,0.59,0.07,0.76,0.25,
