mol_id,mol_name,mol_url,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife
MOL001677,asperglaucide,https://tcmsp-e.com/molecule.php?qn=1677,444.57,4.02,2,6,58.02,0.28,-0.22,0.52,0.42,6.88
MOL001944,Marmesin,https://tcmsp-e.com/molecule.php?qn=1944,246.28,2.03,1,4,50.28,0.52,0.07,0.18,0.30,-0.09
MOL003773,Mangiferolic acid,https://tcmsp-e.com/molecule.php?qn=3773,442.75,6.47,2,3,36.16,0.66,-0.06,0.84,0.25,5.71
MOL000422,kaempferol,https://tcmsp-e.com/molecule.php?qn=422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0.00,14.74
MOL004373,Anhydroicaritin,https://tcmsp-e.com/molecule.php?qn=4373,368.41,3.88,3,6,45.41,0.72,0.01,0.44,0.00,15.01
MOL004489,Anemarsaponin F_qt,https://tcmsp-e.com/molecule.php?qn=4489,432.71,3.92,2,4,60.06,0.43,-0.33,0.79,0.18,4.61
MOL004492,Chrysanthemaxanthin,https://tcmsp-e.com/molecule.php?qn=4492,584.96,8.24,2,3,38.72,0.51,-0.98,0.58,0.30,17.47
MOL004497,Hippeastrine,https://tcmsp-e.com/molecule.php?qn=4497,315.35,1.17,1,6,51.65,0.02,-0.49,0.62,0.32,8.09
MOL004514,Timosaponin B III_qt,https://tcmsp-e.com/molecule.php?qn=4514,416.71,4.77,2,3,35.26,0.42,-0.47,0.87,0.20,4.32
MOL000449,Stigmasterol,https://tcmsp-e.com/molecule.php?qn=449,412.77,7.64,1,1,43.83,1.44,1.00,0.76,0.22,5.57
MOL004528,Icariin I,https://tcmsp-e.com/molecule.php?qn=4528,676.73,0.77,8,15,41.58,-2.06,-3.06,0.61,0.25,18.02
MOL004540,Anemarsaponin C_qt,https://tcmsp-e.com/molecule.php?qn=4540,416.71,4.97,2,3,35.5,0.43,-0.46,0.87,0.20,3.98
MOL004542,Anemarsaponin E_qt,https://tcmsp-e.com/molecule.php?qn=4542,448.76,4.53,2,4,30.67,0.34,-0.23,0.86,0.17,5.14
MOL000483,(Z)-3-(4-hydroxy-3-methoxy-phenyl)-N-[2-(4-hydroxyphenyl)ethyl]acrylamide,https://tcmsp-e.com/molecule.php?qn=483,313.38,2.86,3,5,118.35,0.51,-0.27,0.26,0.00,4.26
MOL000546,diosgenin,https://tcmsp-e.com/molecule.php?qn=546,414.69,4.63,1,3,80.88,0.82,0.27,0.81,0.19,4.14
MOL000631,coumaroyltyramine,https://tcmsp-e.com/molecule.php?qn=631,283.35,2.88,3,4,112.9,0.60,-0.22,0.2,0.41,5.63
