mol_id,mol_name,target_name,target_id,drugbank_id,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife,mol_url
MOL001677,asperglaucide,Thrombin,17,54,444.57,4.02,2,6,58.02,0.28,-0.22,0.52,0.42,6.88,https://tcmsp-e.com/molecule.php?qn=1677
MOL001677,asperglaucide,Potassium voltage-gated channel subfamily H member 2,37,101,444.57,4.02,2,6,58.02,0.28,-0.22,0.52,0.42,6.88,https://tcmsp-e.com/molecule.php?qn=1677
MOL001677,asperglaucide,Coagulation factor Xa,79,239,444.57,4.02,2,6,58.02,0.28,-0.22,0.52,0.42,6.88,https://tcmsp-e.com/molecule.php?qn=1677
MOL001677,asperglaucide,Prostaglandin G/H synthase 2,94,290,444.57,4.02,2,6,58.02,0.28,-0.22,0.52,0.42,6.88,https://tcmsp-e.com/molecule.php?qn=1677
MOL001677,asperglaucide,Trypsin-1,2928,3176,444.57,4.02,2,6,58.02,0.28,-0.22,0.52,0.42,6.88,https://tcmsp-e.com/molecule.php?qn=1677
MOL001944,Marmesin,Prostaglandin G/H synthase 1,6,20,246.28,2.03,1,4,50.28,0.52,0.07,0.18,0.30,-0.09,https://tcmsp-e.com/molecule.php?qn=1944
MOL001944,Marmesin,Thrombin,17,54,246.28,2.03,1,4,50.28,0.52,0.07,0.18,0.30,-0.09,https://tcmsp-e.com/molecule.php?qn=1944
MOL001944,Marmesin,Estrogen receptor,46,136,246.28,2.03,1,4,50.28,0.52,0.07,0.18,0.30,-0.09,https://tcmsp-e.com/molecule.php?qn=1944
MOL001944,Marmesin,Androgen receptor,48,146,246.28,2.03,1,4,50.28,0.52,0.07,0.18,0.30,-0.09,https://tcmsp-e.com/molecule.php?qn=1944
MOL001944,Marmesin,Prostaglandin G/H synthase 2,94,290,246.28,2.03,1,4,50.28,0.52,0.07,0.18,0.30,-0.09,https://tcmsp-e.com/molecule.php?qn=1944
MOL001944,Marmesin,Beta-2 adrenergic receptor,261,766,246.28,2.03,1,4,50.28,0.52,0.07,0.18,0.30,-0.09,https://tcmsp-e.com/molecule.php?qn=1944
MOL001944,Marmesin,Sodium-dependent serotonin transporter,290,824,246.28,2.03,1,4,50.28,0.52,0.07,0.18,0.30,-0.09,https://tcmsp-e.com/molecule.php?qn=1944
MOL001944,Marmesin,Dipeptidyl peptidase IV,332,952,246.28,2.03,1,4,50.28,0.52,0.07,0.18,0.30,-0.09,https://tcmsp-e.com/molecule.php?qn=1944
MOL001944,Marmesin,Cell division protein kinase 2,482,2240,246.28,2.03,1,4,50.28,0.52,0.07,0.18,0.30,-0.09,https://tcmsp-e.com/molecule.php?qn=1944
MOL001944,Marmesin,mRNA of PKA Catalytic Subunit C-alpha,699,6263,246.28,2.03,1,4,50.28,0.52,0.07,0.18,0.30,-0.09,https://tcmsp-e.com/molecule.php?qn=1944
MOL001944,Marmesin,Muscarinic acetylcholine receptor M1,38,103,246.28,2.03,1,4,50.28,0.52,0.07,0.18,0.30,-0.09,https://tcmsp-e.com/molecule.php?qn=1944
MOL001944,Marmesin,Retinoic acid receptor RXR-alpha,158,459,246.28,2.03,1,4,50.28,0.52,0.07,0.18,0.30,-0.09,https://tcmsp-e.com/molecule.php?qn=1944
MOL001944,Marmesin,Muscarinic acetylcholine receptor M2,210,617,246.28,2.03,1,4,50.28,0.52,0.07,0.18,0.30,-0.09,https://tcmsp-e.com/molecule.php?qn=1944
