mol_id,mol_name,mol_url,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife
MOL000118,(L)-alpha-Terpineol,https://tcmsp-e.com/molecule.php?qn=118,154.28,2.42,1,1,48.8,1.39,1.72,0.03,0.27,11.35
MOL001677,asperglaucide,https://tcmsp-e.com/molecule.php?qn=1677,444.57,4.02,2,6,58.02,0.28,-0.22,0.52,0.42,6.88
MOL000017,"beta-D-Glucopyranose, 1-thio-, 1-(1-methoxy-N-(sulfooxy)-1H-indole-3-ethanimidate)",https://tcmsp-e.com/molecule.php?qn=17,478.55,-0.04,5,11,1.94,-1.28,-1.66,0.56,0.22,
MOL000172,Furol,https://tcmsp-e.com/molecule.php?qn=172,96.09,0.99,0,2,34.35,1.08,1.51,0.01,0.20,4.53
MOL001906,Methylgallate,https://tcmsp-e.com/molecule.php?qn=1906,184.16,0.88,3,5,30.91,0.26,0.06,0.05,0.32,5.67
MOL001944,Marmesin,https://tcmsp-e.com/molecule.php?qn=1944,246.28,2.03,1,4,50.28,0.52,0.07,0.18,0.30,-0.09
MOL001986,β-sitosterol,https://tcmsp-e.com/molecule.php?qn=1986,386.73,7.63,1,1,5.84,1.42,1.10,0.71,0.20,
MOL000024,alpha-humulene,https://tcmsp-e.com/molecule.php?qn=24,204.39,5.04,0,0,22.98,1.88,2.08,0.06,0.00,
MOL000244,()-Borneol,https://tcmsp-e.com/molecule.php?qn=244,154.28,1.98,1,1,81.8,1.22,1.47,0.05,0.24,11.36
MOL003223,Tingenone,https://tcmsp-e.com/molecule.php?qn=3223,420.64,4.61,1,3,12.04,0.67,0.03,0.8,0.33,
MOL003773,Mangiferolic acid,https://tcmsp-e.com/molecule.php?qn=3773,442.75,6.47,2,3,36.16,0.66,-0.06,0.84,0.25,5.71
MOL003883,Nyasol,https://tcmsp-e.com/molecule.php?qn=3883,252.33,4.06,2,2,3.37,1.31,0.66,0.13,0.45,
MOL003892,Sarsapogenine,https://tcmsp-e.com/molecule.php?qn=3892,416.71,4.88,1,3,17.41,0.80,0.24,0.81,0.19,
MOL003894,Smilagenin,https://tcmsp-e.com/molecule.php?qn=3894,416.71,4.88,1,3,14.15,0.73,0.10,0.81,0.19,
