mol_id,mol_name,mol_url,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,284.28,2.59,2,5,30.68,0.79,0.04,0.23,0.32,17.75
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,270.30,2.82,1,4,55.23,0.87,0.26,0.2,0.34,17.02
MOL002714,baicalein,https://tcmsp-e.com/molecule.php?qn=2714,270.25,2.33,3,5,33.52,0.63,-0.05,0.21,0.36,16.25
MOL002908,"5,8,2'-Trihydroxy-7-methoxyflavone",https://tcmsp-e.com/molecule.php?qn=2908,300.28,2.32,3,6,37.01,0.76,-0.07,0.27,0.28,16.17
MOL002909,"5,7,2,5-tetrahydroxy-8,6-dimethoxyflavone",https://tcmsp-e.com/molecule.php?qn=2909,376.34,2.02,4,9,33.82,0.35,-0.59,0.45,0.19,15.94
MOL002910,Carthamidin,https://tcmsp-e.com/molecule.php?qn=2910,288.27,2.03,4,6,41.15,0.16,-0.42,0.24,0.36,15.81
MOL002911,"2,6,2',4'-tetrahydroxy-6'-methoxychaleone",https://tcmsp-e.com/molecule.php?qn=2911,302.30,2.62,4,6,69.04,-0.07,-0.32,0.22,0.34,21.89
MOL002913,Dihydrobaicalin_qt,https://tcmsp-e.com/molecule.php?qn=2913,272.27,2.30,3,5,40.04,0.56,0.18,0.21,0.36,16.13
MOL002914,Eriodyctiol (flavanone),https://tcmsp-e.com/molecule.php?qn=2914,288.27,2.03,4,6,41.35,0.05,-0.66,0.24,0.39,15.88
MOL002915,Salvigenin,https://tcmsp-e.com/molecule.php?qn=2915,328.34,2.82,1,6,49.07,0.86,-0.03,0.33,0.21,15.87
MOL002917,"5,2',6'-Trihydroxy-7,8-dimethoxyflavone",https://tcmsp-e.com/molecule.php?qn=2917,330.31,2.30,3,7,45.05,0.48,-0.11,0.33,0.25,16.37
MOL002925,"5,7,2',6'-Tetrahydroxyflavone",https://tcmsp-e.com/molecule.php?qn=2925,286.25,2.07,4,6,37.01,0.18,-0.56,0.24,0.38,18.00
