mol_id,mol_name,mol_url,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife,target_name,target_id,drugbank_id
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29,"Nitric-oxide synthase, endothelial",95,291
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29,Gamma-aminobutyric acid receptor subunit alpha-1,309,872
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29,Cytochrome P450-cam,1143,2298
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29,Prostaglandin G/H synthase 2,94,290
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29,Gamma-aminobutyric-acid receptor alpha-5 subunit,181,523
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29,Alcohol dehydrogenase 1B,726,444
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29,Alcohol dehydrogenase 1C,727,517
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29,Neuronal acetylcholine receptor subunit alpha-2,284,813
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29,Gamma-aminobutyric-acid receptor alpha-3 subunit,200,580
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29,"Proline dehydrogenase, mitochondrial",4451,N/A
MOL001300,PEL,https://tcmsp-e.com/molecule.php?qn=1300,122.18,1.55,1,1,44.03,1.11,1.13,0.02,0.37,-2.41,Alcohol dehydrogenase 1B,726,444
MOL001300,PEL,https://tcmsp-e.com/molecule.php?qn=1300,122.18,1.55,1,1,44.03,1.11,1.13,0.02,0.37,-2.41,Alcohol dehydrogenase 1C,727,517
MOL001300,PEL,https://tcmsp-e.com/molecule.php?qn=1300,122.18,1.55,1,1,44.03,1.11,1.13,0.02,0.37,-2.41,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,2262,2264
MOL001300,PEL,https://tcmsp-e.com/molecule.php?qn=1300,122.18,1.55,1,1,44.03,1.11,1.13,0.02,0.37,-2.41,Trypsin-3,3952,2886
MOL001300,PEL,https://tcmsp-e.com/molecule.php?qn=1300,122.18,1.55,1,1,44.03,1.11,1.13,0.02,0.37,-2.41,Alcohol dehydrogenase 1A,729,251
MOL001300,PEL,https://tcmsp-e.com/molecule.php?qn=1300,122.18,1.55,1,1,44.03,1.11,1.13,0.02,0.37,-2.41,Amine oxidase [flavin-containing] A,566,3941
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,"Nitric oxide synthase, inducible",3,7
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Prostaglandin G/H synthase 1,6,20
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Androgen receptor,48,146
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Prostaglandin G/H synthase 2,94,290
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Dipeptidyl peptidase IV,332,952
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Heat shock protein HSP 90,444,1939
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Cell division protein kinase 2,482,2240
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,mRNA of PKA Catalytic Subunit C-alpha,699,6263
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Trypsin-1,2928,3176
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Nuclear receptor coactivator 2,3276,6241
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Nuclear receptor coactivator 1,3279,6228
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Calmodulin,3907,465
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Serine/threonine-protein kinase Chk1,647,5790
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Beta-2 adrenergic receptor,261,766
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,"CGMP-inhibited 3',5'-cyclic phosphodiesterase A",172,485
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Transcription factor p65,4565,N/A
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Apoptosis regulator Bcl-2,86,273
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Cyclin-dependent kinase inhibitor 1,4141,N/A
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Apoptosis regulator BAX,4033,N/A
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Caspase-3,4087,N/A
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Cellular tumor antigen p53,646,5788
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,Caspase-8,4089,N/A
