mol_id,mol_name,mol_url,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife,target_name,target_id,drugbank_id
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,"Nitric oxide synthase, inducible",3,7
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,Prostaglandin G/H synthase 1,6,20
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,Potassium voltage-gated channel subfamily H member 2,37,101
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,Estrogen receptor,46,136
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,Androgen receptor,48,146
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,Sodium channel protein type 5 subunit alpha,70,220
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,Coagulation factor Xa,79,239
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,Prostaglandin G/H synthase 2,94,290
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,"Nitric-oxide synthase, endothelial",95,291
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,Retinoic acid receptor RXR-alpha,158,459
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,Beta-2 adrenergic receptor,261,766
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,Heat shock protein HSP 90,444,1939
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,mRNA of PKA Catalytic Subunit C-alpha,699,6263
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,Trypsin-1,2928,3176
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,Nuclear receptor coactivator 2,3276,6241
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",3868,695
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,Calmodulin,3907,465
MOL001458,coptisine,https://tcmsp-e.com/molecule.php?qn=1458,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33,"Nitric oxide synthase, inducible",3,7
MOL001458,coptisine,https://tcmsp-e.com/molecule.php?qn=1458,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33,Prostaglandin G/H synthase 1,6,20
MOL001458,coptisine,https://tcmsp-e.com/molecule.php?qn=1458,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33,Potassium voltage-gated channel subfamily H member 2,37,101
MOL001458,coptisine,https://tcmsp-e.com/molecule.php?qn=1458,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33,Estrogen receptor,46,136
