Gene Name,UniProt ID
NOS3,P29474
SPP1,P10451
MIF,P14174
FAS,P25445
CDH1,P12830
NOS2,P35228
ALB,P02768
PTX3,P26022
CAMP,P49913
MET,P08581
CALCA,P06881
EPO,P01588
SELP,P16109
PRNP,F7VJQ1
ERG,P11308
PAK1,Q13153
GNAS,Q5JWF2
FLG,P20930
CCN1,O00622
CCR6,P51684
KLK3,P07288
NRP1,O14786
ZFP36,P26651
PRKACA,P17612
CAT,P04040
GC,P02774
PRL,P01236
NOS1,P29475
TRAF2,Q12933
PKD1,P98161
TSPO,P30536
F10,P00742
DDIT3,P35638
REN,P00797
MCM2,P49736
NAT1,P18440
BBC3,Q9BXH1
TCF3,P15923
PTPA,Q15257
TAP2,Q03519
BACH1,O14867
TRAP1,Q12931
PTGER2,P43116
CCR4,P51679
MED1,Q15648
USP10,Q14694
ADRA1A,P35348
PRG4,Q92954
PDK1,Q15118
MID1,O15344
IL20,Q9NYY1
SAT1,P21673
HDAC7,Q8WUI4
MST1,P26927
SRA1,Q9HD15
MLC1,Q15049
RBP1,P09455
PREP,P48147
CLC,Q05315
CES2,O00748
SCAP,Q12770
DAP3,P51398
PTPRO,Q16827
TOR2A,Q5JU69
CDKN3,Q16667
ATP2B2,Q01814
EIF2A,Q9BY44
POP1,Q99575
PLAC8,Q9NZF1
CCR10,P46092
MMP25,Q9NPA2
LST1,O00453
CKLF,Q9UBR5
ST7,Q9NRC1
SCAF1,Q9H7N4
GDA,Q9Y2T3
CRP,P02741
IL6R,P08887
TNFAIP8L2,Q6P589
CCR5,P51681
NLRP3,Q96P20
TP53,P04637
ACE,P12821
ADGRE5,P48960
APOE,P02649
TNF,P01375
EGFR,P00533
IL6,P05231
VEGFA,P15692
TGFB1,P01137
CD36,P16671
MMP3,P08254
HIF1A,Q16665
IL10,P22301
APP,P05067
SYK,P43405
STAT3,P40763
BDNF,P23560
MMP9,P14780
CD274,Q9NZQ7
HBB,P68871
ADIPOQ,Q15848
AKT1,P31749
NFKB1,P19838
IL1B,P01584
TLR4,O00206
VDR,P11473
PTGS2,P35354
CFTR,P13569
CXCL8,P10145
MTOR,P42345
PPARG,P37231
LTF,P02788
IGF1,P05019
CCR2,P41597
PTEN,P60484
LEP,P41159
CXCR4,P61073
MTHFR,P42898
IFNG,P01579
NFE2L2,Q16236
ABCB1,P08183
ILRUN,Q9H6K1
IL17A,Q16552
ESR1,P03372
SNCA,P37840
SIRT1,Q96EB6
ACE2,Q9BYF1
MAPK1,P28482
CCL2,P13500
SERPINE1,P05121
CTNNB1,P35222
GSTM1,P09488
HLA-DRB1,P01911
HMGB1,P09429
ADAR,P55265
PON1,P27169
TLR2,O60603
NOTCH1,P46531
CXCL12,P48061
BRCA1,P38398
KRAS,P01116
IRF1,P10914
FOXP3,Q9BZS1
GPR84,Q9NQS5
HMOX1,P09601
IL18,Q14116
ICAM1,P05362
RELA,Q04206
PARP1,P09874
HLA-B,P01889
F2,P00734
LGALS3,P17931
FGB,P02675
IL4,P05112
VWF,P04275
FGG,P02679
AGER,Q15109
CD44,P16070
MAPK14,Q16539
APOA1,P02647
ITGB1,P05556
LCN2,P80188
MAPT,P10636
NOD2,Q9HC29
ERBB2,P04626
MMP2,P08253
PDCD1,Q15116
BRAF,P15056
SOD1,P00441
EDN1,P05305
NPPB,P16860
MBL2,P11226
AR,P10275
FGA,P02671
MUC1,P15941
JUN,P05412
CFH,P08603
INS,P01308
TNFSF10,P50591
MMP13,P45452
STAT1,P42224
NR3C1,P04150
IL1RN,P18510
PCSK9,Q8NBP7
ABO,P16442
CTLA4,P16410
EZH2,Q15910
CD14,P08571
JAK2,O60674
HLA-G,P17693
TLR9,Q9NR96
MYC,P01106
AHR,P35869
CR1,P17927
GDF15,Q99988
TNFRSF11B,O00300
IFNL3,Q8IZI9
CXCL10,P02778
IL33,O95760
SLC6A4,P31645
HGF,P14210
RETN,Q9HD89
CCL5,P13501
MAPK3,P27361
MPO,P05164
ACKR1,Q16570
FGF23,Q9GZV9
TLR3,O15455
IL1A,P01583
TERT,O14746
CST3,P01034
F3,P13726
CHI3L1,P36222
NAMPT,P43490
PPARGC1A,Q9UBK2
TNFRSF1A,P19438
BCL2,P10415
YAP1,P46937
DPP4,P27487
CDKN1A,P38936
C3,P01024
TIMP1,P01033
BIRC5,O15392
ABCA1,O95477
LPA,P08519
AGT,P01019
PLAUR,Q03405
IL13,P35225
MAPK8,P45983
MMP12,P39900
FOXO3,O43524
GSK3B,P49841
NHERF1,O14745
P2RX7,Q99572
GRN,P28799
KL,Q9UEF7
IGF1R,P08069
CASP8,Q14790
S100A9,P06702
LRRK2,Q5S007
CD40,P25942
CD40LG,P29965
HSP90AA1,P07900
BRCA2,P51587
PPARA,Q07869
SQSTM1,Q13501
TGM2,P21980
FGF2,P09038
FN1,P02751
HAMP,P81172
MDM2,Q00987
TRAF6,Q9Y4K3
ANGPT2,O15123
VCAM1,P19320
IDO1,P14902
CCR3,P51677
TRPV1,Q8NER1
CAV1,Q03135
C15orf48,Q9C002
SOD2,P04179
MYD88,Q99836
SERPINA1,P01009
IL15,P40933
ADAMTS13,Q76LX8
ATM,Q13315
GSTT1,P30711
KLF4,O43474
EGR1,P18146
CLU,P10909
TNFAIP3,P21580
SLC22A5,O76082
GSTP1,P09211
SOCS3,O14543
GHRL,Q9UBU3
ESR2,Q92731
PRKN,O60260
POSTN,Q15063
PIK3CA,P42336
FTO,Q9C0B1
CD4,P01730
ABCG2,Q9UNQ0
ADAM17,P78536
CYP2C19,P33261
HP,P00738
THBS1,P07996
STING1,Q86WV6
IL22,Q9GZX6
NFKBIA,P25963
PROC,P04070
FASLG,P48023
FOXO1,Q12778
PRKAA1,Q13131
ADRB2,P07550
SELE,P16581
PTK2,Q05397
PLA2G7,Q13093
ITGB3,P05106
TNFSF11,O14788
DRD2,P14416
WNT5A,P41221
CREB1,P16220
HSPA4,P34932
HDAC1,Q13547
RAC1,P63000
ANXA1,P04083
PLAU,P00749
FLT1,P17948
SDC1,P18827
F2RL1,P55085
SMAD4,Q13485
F5,P12259
RET,P07949
KIT,P10721
HLA-DQB1,P01920
TLR7,Q9NYK1
APOB,P04114
MMP1,P03956
F2R,P25116
VIM,P08670
SMAD3,P84022
S100A8,P05109
DKK1,O94907
BRD4,O60885
IL27,Q8NEV9
BSG,P35613
MEFV,O15553
RB1,P06400
SLC22A4,Q9H015
RIGI,O95786
TSLP,Q969D9
CYP19A1,P11511
LMNA,P02545
CXCR2,P25025
CD163,Q86VB7
HAVCR2,Q8TDQ0
CYP1A1,P04798
TP63,Q9H3D4
SIRT6,Q8N6T7
MMP7,P09237
S100B,P04271
CX3CL1,P78423
KDR,P35968
TRPV4,Q9HBA0
ELANE,P08246
AGTR1,P30556
SAA1,P0DJI8
IL23A,Q9NPF7
SRC,P12931
GJA1,P17302
PTPN11,Q06124
MKI67,P46013
PKM,P14618
