Gene Name,UniProt ID
PTGS2,P35354
TNF,P01375
IL10,P22301
IL6,P05231
PTGS1,P23219
IL1B,P01584
CXCL8,P10145
MAPK14,Q16539
ALOX5,P09917
PARAIL,
LINC-ADAIN,
HMOX1,P09601
CCL2,P13500
BDNF-AS,
IFNG,P01579
CRP,P02741
COX5A,P20674
IL4,P05112
CYP2C9,P11712
NOS2,P35228
PPARG,P37231
GDF15,Q99988
ANXA1,P04083
IL1RN,P18510
TGFB1,P01137
CD163,Q86VB7
LINC02605,
NFE2L2,Q16236
IL5,P05113
NR3C1,P04150
CERNA3,
ADIPOQ,Q15848
SOD2-OT1,
ICAM1,P05362
NFKBIA,P25963
MPO,P05164
PTGER2,P43116
NFKB1,P19838
IL13,P35225
IKBKB,O14920
IL1A,P01583
MMP1,P03956
ELANE,P08246
TLR4,O00206
ALB,P02768
MIF,P14174
VCAM1,P19320
IL1R1,P14778
STAT3,P40763
IL2,P60568
MAPK1,P28482
MMP9,P14780
MMP3,P08254
IL18,Q14116
CHUK,O15111
LTF,P02788
JUN,P05412
RELA,Q04206
PDE4A,P27815
PPARA,Q07869
FPR2,P25090
RNASE3,P12724
KEAP1,Q14145
CYSLTR1,Q9Y271
CCL5,P13501
INS,P01308
TSC22D3,Q99576
PLA2G2A,P14555
SELE,P16581
TBX21,Q9UL17
CSF2,P04141
IL1RAPL2,Q9NP60
MEFV,O15553
MAPK8,P45983
CREB1,P16220
BMP6,P22004
FFAR4,Q5NUL3
NR1H2,P55055
OXA1L,Q15070
IL17A,Q16552
VEGFA,P15692
CCL3,P10147
TP53,P04637
APP,P05067
CPOX,P36551
CASP3,P42574
CSF3,P09919
PPARD,Q03181
CYP3A4,P08684
STAT1,P42224
IL37,Q9NZH6
CYP2C19,P33261
PIK3CG,P48736
SOD1,P00441
TLR2,O60603
CXCL10,P02778
PLA2G4A,P47712
HRH2,P25021
PLA2G7,Q13093
CCL11,P51671
LOC109286563,
POMC,P01189
BGLAP,P02818
BCL2,P10415
PGR-AS1,
IGHE,P01854
ADAM17,P78536
CCL4,P13236
MIR7-3HG,Q8N6C7
AKR1C3,P42330
HLA-DRB1,P01911
TNFRSF1A,P19438
MMP2,P08253
CSF1,P09603
HMGB1,P09429
CD14,P08571
HLA-B,P01889
APOA1,P02647
NLRP3,Q96P20
KNG1,P01042
ZFP36,P26651
ABCC4,O15439
SRC,P12931
IL12A,P29459
LTC4S,Q16873
CYSLTR2,Q9NS75
SYK,P43405
LTA4H,P09960
XDH,P47989
HPGD,P15428
MAPK3,P27361
IL11,P20809
HSD11B1,P28845
PLA2G6,O60733
CTNNB1,P35222
NOS3,P29474
ACE,P12821
SELP,P16109
CAT,P04040
LEP,P41159
NQO1,P15559
PON1,P27169
CYP2C8,P10632
APOE,P02649
RXRA,P19793
ABCB1,P08183
ALOX15,P16050
GGT1,P19440
EDN1,P05305
SCARNA5,
PRKACA,P17612
SCGB1A1,P11684
SELL,P14151
LTA,P01374
CXCL2,P19875
EGF,P01133
IKZF1,Q13422
CASP8,Q14790
IKBKG,Q9Y6K9
PIK3CA,P42336
ADORA2B,P29275
BAX,Q07812
JAK2,O60674
CD40,P25942
IL6R,P08887
CASP1,P29466
G6PD,P11413
ITGAM,P11215
SLC22A6,Q4U2R8
CXCL1,P09341
THBD,P07204
HP,P00738
ALOX12,P18054
FPR1,P21462
SERPINE1,P05121
CFTR,P13569
PTGES,O14684
ADRB2,P07550
UGT1A6,P19224
LOX,P28300
CCND1,P24385
ITGB2,P05107
HGF,P14210
EPX,P11678
HMGCR,P04035
F3,P13726
TNFAIP6,P98066
IRF3,Q14653
PDE4B,Q07343
SLPI,P03973
TPMT,P51580
F5,P12259
UGT1A,
CYCS,P99999
MFSD10,Q14728
FOS,P01100
AKT1,P31749
TRA-TGC7-1,
F2,P00734
RARRES2,Q99969
ADK,P55263
FCGR3A,P08637
HIF1A,Q16665
IL12B,P29460
CYP1A2,P05177
CTLA4,P16410
VDR,P11473
SERPINA1,P01009
EGR1,P18146
DUSP1,P28562
IL27,Q8NEV9
ABCC1,P33527
NGF,P01138
IL2RA,P01589
UGT2B7,P16662
TIMP1,P01033
MYC,P01106
BCL2L1,Q07817
HSPA4,P34932
CYP2D6,P10635
CD4,P01730
CD59,P13987
BDNF,P23560
FCGR1A,P12314
CASP9,P55211
UGT1A9,O60656
AR,P10275
DPEP1,P16444
GHRL,Q9UBU3
CXCL12,P48061
FAS,P25445
SOD2,P04179
IGF1,P05019
TTR,P02766
VIP,P01282
ANXA5,P08758
MMP13,P45452
FURIN,P09958
PLCG1,P19174
ODC1,P11926
GCLC,P48506
ABCA1,O95477
CCL17,Q92583
SLC22A8,Q8TCC7
TNFRSF1B,P20333
S100A8,P05109
PPIG,Q13427
GSK3B,P49841
NOX1,Q9Y5S8
KLK3,P07288
RETN,Q9HD89
GPS2,Q13227
NR1H4,Q96RI1
CD36,P16671
IL10RA,Q13651
PTEN,P60484
IL3,P08700
TNFRSF11B,O00300
NR3C2,P08235
ASIC1,P78348
NAT2,P11245
CD40LG,P29965
APC,P25054
IFNA1,P01562
PTGER4,P35408
CTSG,P08311
PARP1,P09874
MAPK10,P53779
HSD11B2,P80365
F2R,P25116
CALCA,P06881
IFNB1,P01574
CNR1,P21554
IL18R1,Q13478
STAT6,P42226
MAP2K1,Q02750
EBI3,Q14213
IL15,P40933
ESR1,P03372
SERPINF1,P36955
NOD2,Q9HC29
TLR3,O15455
FYN,P06241
CD79A,P11912
ADORA3,P0DMS8
CXCL5,P42830
SERPINC1,P01008
CHRNA7,P36544
CDH1,P12830
CXCR3,P49682
MIR146B,
CCL22,O00626
NR5A2,O00482
ALPP,P05187
UGT1A3,P35503
BIRC5,O15392
GSTP1,P09211
GUSB,P08236
GCLM,P48507
NINJ1,Q92982
CYP3A5,P20815
PLA2G1B,P04054
CRH,P06850
ADA,P00813
SIRT1,Q96EB6
PWAR1,
TNFSF10,P50591
ACE2,Q9BYF1
GNAI1,P63096
IGFBP3,P17936
SULT1A1,P50225
CCL7,P80098
LDLR,P01130
SP1,P08047
VWF,P04275
IL19,Q9UHD0
TLR9,Q9NR96
ADCY1,Q08828
ATF4,P18848
CAMP,P49913
RAF1,P04049
CDKN1A,P38936
BMP2,P12643
LGALS1,P09382
SPINK5,Q9NQ38
SOCS3,O14543
NR1H3,Q13133
MCL1,Q07820
PDE3B,Q13370
ADCY10,Q96PN6
PRKAR1A,P10644
PLAU,P00749
SLC7A11,Q9UPY5
HSF1,Q00613
CYBA,P13498
TBXA2R,P21731
ADORA2A,P29274
TGFB2,P61812
RHOA,P61586
GSTA2,P09210
MIR146A,
IL4R,P24394
HDAC9,Q9UKV0
C5AR1,P21730
CXCL17,Q6UXB2
AHR,P35869
FAAH,O00519
CYP2B6,P20813
TXN,P10599
CPT2,P23786
NLRP10,Q86W26
MBP,P02686
BAK1,Q16611
GNAS,P84996
SCARB1,Q8WTV0
ADCYAP1,P18509
PTGDR2,Q9Y5Y4
NAGLU,P54802
IL36RN,Q9UBH0
UGT1A1,P22309
ESR2,Q92731
TF,P02787
GCG,P01275
IDO1,P14902
SLC5A8,Q8N695
PROC,P04070
PROCR,Q9UNN8
CDKN1B,P46527
PECAM1,P16284
PRKCA,P17252
APOB,P04114
CYP2E1,P05181
ITGAL,P20701
ADCY5,O95622
EGFR,P00533
HLA-DQB1,P01920
LOC126862264,
MUC5AC,P98088
LBR,Q14739
TBXAS1,P24557
MIR155,
IFI16,Q16666
MXRA5,Q9NR99
C3,P01024
NOS1,P29475
CYP19A1,P11511
ABCC2,Q92887
AGT,P01019
CNR2,P34972
FASLG,P48023
ZC3H12A,Q5D1E8
REN,P00797
FGF2,P09038
SOCS1,O15524
FNDC4,Q9H6D8
AKR1B1,P15121
PCNA,P12004
HRH1,P35367
KLF2,Q9Y5W3
IL1F10,Q8WWZ1
AMACR,Q9UHK6
LCK,P06239
TNFSF11,O14788
CXCR1,P25024
PTX3,P26022
NPPB,P16860
SST,P61278
PGR,P06401
TNFRSF10B,O14763
ITGA4,P13612
CD69,Q07108
MUC1,P15941
SPP1,P10451
LTB4R,Q15722
MYH9,P35579
GNB1,P62873
GNAI3,P08754
PLK2,Q9NYY3
HNF1A-AS1,
TRPA1,O75762
SPARC,P09486
ADM,P35318
HSPA1A,P0DMV8
REG3A,Q06141
ALOX15B,O15296
SLC9A3,P48764
LYN,P07948
IL7,P13232
SHBG,P04278
KL,Q9UEF7
MIRLET7C,
PTK2,Q05397
TNIP1,Q15025
SULT1A3,P0DMM9
LPL,P06858
CDK4,P11802
APEX1,P27695
EPO,P01588
HSPB1,P04792
IRS1,P35568
FCGR2A,P12318
TAT,P17735
CCR3,P51677
PRKAA1,Q13131
EPHX2,P34913
VKORC1,Q9BQB6
LBP,P18428
CPEB2-DT,
DNAH8,Q96JB1
PLCG2,P16885
BIRC3,Q13489
SERPINA6,P08185
SAA1,P0DJI8
PTGDR,Q13258
CXCL11,O14625
PRKACB,P22694
ADCY3,O60266
ADCY6,O43306
GNAI2,P04899
GNB3,P16520
PRKAR1B,P31321
PRKACG,P22612
ADCY2,Q08462
ADCY8,P40145
GNB2,P62879
GNB5,O14775
ADCY9,O60503
ADCY7,P51828
GNB4,Q9HAV0
PRKAR2B,P31323
GNGT1,P63211
PRKAR2A,P13861
ADCY4,Q8NFM4
GNAZ,P19086
PRKX,P51817
RHBDF2,Q6PJF5
GNG2,P59768
GNG3,P63215
GNGT2,O14610
GNG12,Q9UBI6
GNG11,P61952
GNG5,P63218
GNAT3,A8MTJ3
GNG10,P50151
GNG4,P50150
GNG13,Q9P2W3
GNG7,O60262
GNG8,Q9UK08
GPT,P24298
TRPV1,Q8NER1
HNF4A,P41235
SCT,P09683
MLH1,P40692
MIR125A,
HSPG2,P98160
CD86,P42081
ELN,P15502
F10,P00742
ITPR1,Q14643
HSPD1,P10809
CXCL9,Q07325
TNFAIP3,P21580
IRS2,Q9Y4H2
ITPR2,Q14571
SLC17A5,Q9NRA2
MMP8,P22894
CXCR2,P25025
PDCD1,Q15116
HRH4,Q9H3N8
IL22,Q9GZX6
TNFRSF10A,O00220
TRP-AGG2-6,
PLAT,P00750
FGR,P09769
CD3G,P09693
IL1RAP,Q9NPH3
CYBB,P04839
NR4A1,P22736
XCL1,P47992
HPX,P02790
KITLG,P21583
MMP14,P50281
TRC-GCA24-1,
IFI27,P40305
CISH,Q9NSE2
MTOR,P42345
FCER2,P06734
CCL13,Q99616
CCL27,Q9Y4X3
PLA2G2D,Q9UNK4
CD209,Q9NNX6
TGFA,P01135
HSPA5,P11021
NFKBIB,Q15653
PI3,P19957
RARA,P10276
P2RX7,Q99572
HLA-G,P17693
PTGIS,Q16647
IL1R2,P27930
MIR133B,
CP,P00450
EDNRA,P25101
CLU,P10909
ANGPT2,O15123
UGT1A10,Q9HAW8
CCN2,P29279
ABCC3,O15438
STAT4,Q14765
CYP1B1,Q16678
S100A9,P06702
UCN,P55089
IGF2,P01344
FN1,P02751
ITIH4,Q14624
SFTPD,P35247
TGIF1,Q15583
ANPEP,P15144
SERPINB1,P30740
HDAC2,Q92769
IL16,Q14005
IL18BP,O95998
PRTN3,P24158
MAOB,P27338
LCAT,P04180
FOXP3,Q9BZS1
VAV1,P15498
PTK2B,Q14289
RPS27A,P62979
FKBP5,Q13451
TACR1,P25103
GPR35,Q9HC97
RAPGEF3,O95398
LEPR,P48357
GUCY1A1,Q02108
GUCY1B1,Q02153
GUCY1A2,P33402
TRD-GTC9-1,
NPY,P01303
TRN-GTT2-7,
TRE-TTC3-1,
BID,P55957
RAPGEF4,Q8WZA2
MAP3K7,O43318
PRKAA2,P54646
CCR5,P51681
SAA4,P35542
AQP2,P41181
TAC1,P20366
PDE7A,Q13946
PYCARD,Q9ULZ3
HSPA8,P11142
CCL20,P78556
CSF1R,P07333
CCL8,P80075
PRL,P01236
TFF3,Q07654
PVR,P15151
AGER,Q15109
TLR7,Q9NYK1
TEK,Q02763
PSEN1,P49768
CHGA,P10645
NR1I2,O75469
BPIFA2,Q96DR5
CD274,Q9NZQ7
IL33,O95760
ADPRH,P54922
NT5E,P21589
AKR1C4,P17516
MAPK11,Q15759
CDKN3,Q16667
HCK,P08631
VIM,P08670
NOTCH1,P46531
PROS1,P07225
SLC9A1,P19634
CDKN2A,Q8N726
PRKAB1,Q9Y478
IL9,P15248
XIAP,P98170
CCR4,P51679
NPPA,P01160
ERBB2,P04626
MYD88,Q99836
CYP2J2,P51589
GPER1,Q99527
SELPLG,Q14242
DHRS9,Q9BPW9
FOXO1,Q12778
LIF,P15018
RARB,P10826
WNT5A,P41221
ELAVL1,Q15717
CX3CR1,P49238
TG,P01266
IRAK1,P51617
SFTPA1,Q8IWL2
BTK,Q06187
CALM1,P0DP23
CALM2,P0DP24
ITGB1,P05556
DUSP10,Q9Y6W6
CYP1A1,P04798
GAL,P22466
IGF1R,P08069
IL2RB,P14784
SMAD7,O15105
ARRB2,P32121
F9,P00740
SLC22A7,Q9Y694
ABCG2,Q9UNQ0
PPBP,P02775
PRKCD,Q05655
ASIC3,Q9UHC3
TMSB4X,P62328
MIR21,
HPSE,Q9Y251
SNORD44,
INSR,P06213
VTN,P04004
HMOX2,P30519
CA1,P00915
UGT1A7,Q9HAW7
SMAD2,Q15796
MERTK,Q12866
CD28,P10747
AOC3,Q16853
PTPN6,P29350
HLA-DPB1,P04440
ITLN1,Q8WWA0
EDNRB,P24530
PRKCB,P05771
SIK2,Q9H0K1
PTGER1,P34995
NR4A2,P43354
PLG,P00747
CEP68,Q76N32
JAK1,P23458
RPS6KA5,O75582
TFF2,Q03403
CD247,P20963
ITPR3,Q14573
PRKG2,Q13237
YES1,P07947
CALM3,P0DP25
AHCYL1,O43865
GGT5,P36269
DPEP2,Q9H4A9
GUCY1B2,O75343
LOC124905021,
TYR,P14679
HLA-A,P04439
REL,Q04864
HLA-DRA,P01903
THBS1,P07996
TSPO,B1AH88
GZMB,P10144
MAP3K1,Q13233
PDE4D,Q08499
ANGPT1,Q15389
AGTR1,P30556
AKR1C1,Q04828
ATF3,P18847
OPRM1,P35372
SCN11A,Q9UI33
ICAM3,P32942
PTGES3,Q15185
HSP90AB1,P08238
CXCR4,P61073
GUCY2D,Q02846
LGALS3,P17931
MC1R,Q01726
GJA1,P17302
PPARGC1A,Q9UBK2
CDK2,P24941
H19,
EPHX1,P07099
MT-RNR1,A0A0C5B5G6
ATM,Q13315
BMP7,P18075
C3AR1,Q16581
ERAS,Q7Z444
GADD45A,P24522
MAPT,P10636
DDIT3,P35638
IFNA2,P01563
CHAT,P28329
HRAS,P01112
HAVCR1,Q96D42
CDK6,Q00534
CCL18,P55774
MDM2,Q00987
TNC,P24821
PF4,P02776
SNORD15A,
ACHE,P22303
TDO2,P48775
CYP21A2,P08686
ALOX5AP,P20292
HSP90AA1,P07900
CPT1B,Q92523
IL23A,Q9NPF7
IL6ST,P40189
MAPK13,O15264
MB,P02144
CCR1,P32246
NFATC1,O95644
IL5RA,Q01344
ADAMTS13,Q76LX8
EPAS1,Q99814
CD44,P16070
F2RL1,P55085
TRP-AGG2-5,
CFLAR,O15519
CD38,P28907
C1QTNF3,Q9BXJ4
CDC42,P60953
CCND2,P30279
SULT2A1,Q06520
CD58,P19256
CLDN4,O14493
DNTT,P04053
GADD45G,O95257
MUC5B,Q9HC84
MUCL3,Q3MIW9
MROS,
ATP4A,P20648
FMO3,P31513
PIK3R1,P27986
MFGE8,Q08431
GAST,P01350
CD82,P27701
C1QTNF4,Q9BXJ3
MAP2K3,P46734
ROCK2,O75116
CSK,P41240
SMAD6,O43541
PLA2G5,P39877
MAPKAPK2,P49137
TUG1,A0A6I8PU40
MT-TP,
TFRC,P02786
AKR1C2,P52895
MUC16,Q8WXI7
NLRC3,Q7RTR2
CHRFAM7A,Q494W8
TREM2,Q9NZC2
SLCO1A2,P46721
P2RY12,Q9H244
DEFB103B,P81534
MIR494,
DHDH,Q9UQ10
KDR,P35968
TCF7L2,Q9NQB0
KCNA2,P16389
GATA6,Q92908
MAFB,Q9Y5Q3
PRKCE,Q02156
CX3CL1,P78423
CEBPB,P17676
IL32,P24001
S100B,P04271
CALR,P27797
CLEC7A,Q9BXN2
RUNX2,Q13950
IL24,Q13007
SCGB3A2,Q96PL1
MVK,Q03426
SLC29A1,Q99808
BMP4,P12644
GH1,P01241
CCR2,P41597
UGT1A4,P22310
CCL15-CCL14,
TMPRSS2,O15393
CEBPA,P49715
DHFR,P00374
LPA,P08519
ESRRB,O95718
