mol_id,mol_name,mol_url,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife
MOL001040,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",https://tcmsp-e.com/molecule.php?qn=1040,272.27,2.30,3,5,42.36,0.38,-0.48,0.21,0.41,16.83
MOL001484,Inermine,https://tcmsp-e.com/molecule.php?qn=1484,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL003542,8-Isopentenyl-kaempferol,https://tcmsp-e.com/molecule.php?qn=3542,354.38,3.63,4,6,38.04,0.53,-0.49,0.39,0.00,15.37
MOL003627,sophocarpine,https://tcmsp-e.com/molecule.php?qn=3627,246.39,1.39,0,3,64.26,0.99,1.00,0.25,0.26,5.54
MOL003641,Soyasapogenol B,https://tcmsp-e.com/molecule.php?qn=3641,458.80,5.11,3,3,16.73,0.43,-0.34,0.75,0.21,
MOL003648,Inermin,https://tcmsp-e.com/molecule.php?qn=3648,284.28,2.44,1,5,65.83,0.91,0.36,0.54,0.30,11.73
MOL003673,Wighteone,https://tcmsp-e.com/molecule.php?qn=3673,338.38,3.92,3,5,42.8,0.64,-0.16,0.36,0.31,17.04
MOL003676,Sophoramine,https://tcmsp-e.com/molecule.php?qn=3676,244.37,1.15,0,3,42.16,1.43,1.53,0.25,0.22,6.69
MOL003680,sophoridine,https://tcmsp-e.com/molecule.php?qn=3680,248.41,1.42,0,3,60.07,1.13,1.14,0.25,0.18,5.57
MOL000392,formononetin,https://tcmsp-e.com/molecule.php?qn=392,268.28,2.58,1,4,69.67,0.78,0.02,0.21,0.00,17.04
MOL000393,Soyasaponin I,https://tcmsp-e.com/molecule.php?qn=393,943.26,0.97,11,18,2.06,-2.75,-3.38,0.05,0.00,
MOL004580,cis-Dihydroquercetin,https://tcmsp-e.com/molecule.php?qn=4580,304.27,1.49,5,7,66.44,-0.34,-1.11,0.27,0.40,14.51
MOL004941,(2R)-7-hydroxy-2-(4-hydroxyphenyl)chroman-4-one,https://tcmsp-e.com/molecule.php?qn=4941,256.27,2.57,2,4,71.12,0.41,-0.25,0.18,0.00,18.09
MOL005100,"5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one",https://tcmsp-e.com/molecule.php?qn=5100,302.30,2.28,3,6,47.74,0.28,-0.30,0.27,0.31,16.51
MOL005944,matrine,https://tcmsp-e.com/molecule.php?qn=5944,248.41,1.42,0,3,63.77,1.39,1.52,0.25,0.00,6.69
MOL000006,luteolin,https://tcmsp-e.com/molecule.php?qn=6,286.25,2.07,4,6,36.16,0.19,-0.84,0.25,0.39,15.94
MOL006561,(+)-14alpha-hydroxymatrine,https://tcmsp-e.com/molecule.php?qn=6561,264.41,0.74,1,4,35.73,0.53,0.48,0.29,0.21,3.01
MOL006562,"(+)-7,11-dehydromatrine,(leontalbinine)",https://tcmsp-e.com/molecule.php?qn=6562,246.39,1.42,0,3,62.08,1.06,1.12,0.25,0.16,6.46
MOL006563,(+)-9alpha-hydroxymatrine,https://tcmsp-e.com/molecule.php?qn=6563,264.41,0.45,1,4,32.04,0.61,0.15,0.29,0.19,4.55
MOL006564,(+)-allomatrine,https://tcmsp-e.com/molecule.php?qn=6564,248.41,1.42,0,3,58.87,1.08,1.13,0.25,0.18,5.49
MOL006565,AIDS211310,https://tcmsp-e.com/molecule.php?qn=6565,248.41,1.42,0,3,68.68,1.15,1.38,0.25,0.17,6.15
MOL006566,(+)-lehmannine,https://tcmsp-e.com/molecule.php?qn=6566,246.39,1.11,0,3,58.34,1.21,1.36,0.25,0.21,6.57
MOL006567,(+)-sophoranol,https://tcmsp-e.com/molecule.php?qn=6567,264.41,0.67,1,4,22.92,0.44,0.27,0.28,0.20,
MOL006568,isosophocarpine,https://tcmsp-e.com/molecule.php?qn=6568,246.39,1.39,0,3,61.57,1.39,1.45,0.25,0.24,5.90
