mol_id,mol_name,target_name,target_id,drugbank_id,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife
MOL001040,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",Prostaglandin G/H synthase 1,6,20,272.27,2.30,3,5,42.36,0.38,-0.48,0.21,0.41,16.83
MOL001040,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",Estrogen receptor,46,136,272.27,2.30,3,5,42.36,0.38,-0.48,0.21,0.41,16.83
MOL001040,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",Prostaglandin G/H synthase 2,94,290,272.27,2.30,3,5,42.36,0.38,-0.48,0.21,0.41,16.83
MOL001040,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",Heat shock protein HSP 90,444,1939,272.27,2.30,3,5,42.36,0.38,-0.48,0.21,0.41,16.83
MOL001040,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",mRNA of PKA Catalytic Subunit C-alpha,699,6263,272.27,2.30,3,5,42.36,0.38,-0.48,0.21,0.41,16.83
MOL001040,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",Beta-lactamase,499,2478,272.27,2.30,3,5,42.36,0.38,-0.48,0.21,0.41,16.83
MOL001040,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",Progesterone receptor,209,614,272.27,2.30,3,5,42.36,0.38,-0.48,0.21,0.41,16.83
MOL001040,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",Mineralocorticoid receptor,252,737,272.27,2.30,3,5,42.36,0.38,-0.48,0.21,0.41,16.83
MOL001040,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",Glucocorticoid receptor,308,871,272.27,2.30,3,5,42.36,0.38,-0.48,0.21,0.41,16.83
MOL001484,Inermine,Prostaglandin G/H synthase 1,6,20,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL001484,Inermine,Muscarinic acetylcholine receptor M3,16,51,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL001484,Inermine,Sodium channel protein type 5 subunit alpha,70,220,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL001484,Inermine,Prostaglandin G/H synthase 2,94,290,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL001484,Inermine,5-hydroxytryptamine receptor 3A,113,341,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL001484,Inermine,Retinoic acid receptor RXR-alpha,158,459,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL001484,Inermine,Alpha-1B adrenergic receptor,216,632,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL001484,Inermine,Alpha-1D adrenergic receptor,272,789,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL001484,Inermine,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL001484,Inermine,mRNA of PKA Catalytic Subunit C-alpha,699,6263,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL001484,Inermine,Ig gamma-1 chain C region,1201,4785,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL001484,Inermine,Trypsin-1,2928,3176,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL001484,Inermine,Calmodulin,3907,465,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL001484,Inermine,Muscarinic acetylcholine receptor M1,38,103,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL001484,Inermine,Beta-2 adrenergic receptor,261,766,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL001484,Inermine,Mu-type opioid receptor,299,847,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL001484,Inermine,Heat shock protein HSP 90,444,1939,284.28,2.44,1,5,75.18,0.89,0.40,0.54,0.30,11.72
MOL003542,8-Isopentenyl-kaempferol,Thrombin,17,54,354.38,3.63,4,6,38.04,0.53,-0.49,0.39,0.00,15.37
MOL003542,8-Isopentenyl-kaempferol,Estrogen receptor,46,136,354.38,3.63,4,6,38.04,0.53,-0.49,0.39,0.00,15.37
MOL003542,8-Isopentenyl-kaempferol,Androgen receptor,48,146,354.38,3.63,4,6,38.04,0.53,-0.49,0.39,0.00,15.37
MOL003542,8-Isopentenyl-kaempferol,Peroxisome proliferator activated receptor gamma,78,238,354.38,3.63,4,6,38.04,0.53,-0.49,0.39,0.00,15.37
MOL003542,8-Isopentenyl-kaempferol,Coagulation factor Xa,79,239,354.38,3.63,4,6,38.04,0.53,-0.49,0.39,0.00,15.37
MOL003542,8-Isopentenyl-kaempferol,Prostaglandin G/H synthase 2,94,290,354.38,3.63,4,6,38.04,0.53,-0.49,0.39,0.00,15.37
MOL003542,8-Isopentenyl-kaempferol,DNA topoisomerase II,287,817,354.38,3.63,4,6,38.04,0.53,-0.49,0.39,0.00,15.37
MOL003542,8-Isopentenyl-kaempferol,Dipeptidyl peptidase IV,332,952,354.38,3.63,4,6,38.04,0.53,-0.49,0.39,0.00,15.37
MOL003542,8-Isopentenyl-kaempferol,Glycogen synthase kinase-3 beta,422,1721,354.38,3.63,4,6,38.04,0.53,-0.49,0.39,0.00,15.37
MOL003542,8-Isopentenyl-kaempferol,Heat shock protein HSP 90,444,1939,354.38,3.63,4,6,38.04,0.53,-0.49,0.39,0.00,15.37
