mol_id,mol_name,target_name,target_id,drugbank_id,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife,mol_url
MOL001406,crocetin,Cytochrome P450-cam,1143,2298,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,https://tcmsp-e.com/molecule.php?qn=1406
MOL001406,crocetin,Muscarinic acetylcholine receptor M3,16,51,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,https://tcmsp-e.com/molecule.php?qn=1406
MOL001406,crocetin,Muscarinic acetylcholine receptor M1,38,103,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,https://tcmsp-e.com/molecule.php?qn=1406
MOL001406,crocetin,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,https://tcmsp-e.com/molecule.php?qn=1406
MOL001406,crocetin,Gamma-aminobutyric-acid receptor alpha-5 subunit,181,523,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,https://tcmsp-e.com/molecule.php?qn=1406
MOL001406,crocetin,Alpha-1A adrenergic receptor,191,556,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,https://tcmsp-e.com/molecule.php?qn=1406
MOL001406,crocetin,Gamma-aminobutyric-acid receptor alpha-3 subunit,200,580,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,https://tcmsp-e.com/molecule.php?qn=1406
MOL001406,crocetin,Muscarinic acetylcholine receptor M2,210,617,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,https://tcmsp-e.com/molecule.php?qn=1406
MOL001406,crocetin,Alpha-1B adrenergic receptor,216,632,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,https://tcmsp-e.com/molecule.php?qn=1406
MOL001406,crocetin,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,https://tcmsp-e.com/molecule.php?qn=1406
MOL001406,crocetin,Ig gamma-1 chain C region,1201,4785,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,https://tcmsp-e.com/molecule.php?qn=1406
MOL001406,crocetin,Prostaglandin G/H synthase 2,94,290,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,https://tcmsp-e.com/molecule.php?qn=1406
MOL001406,crocetin,Nuclear receptor coactivator 2,3276,6241,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,https://tcmsp-e.com/molecule.php?qn=1406
MOL001406,crocetin,Vascular cell adhesion protein 1,440,1908,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,https://tcmsp-e.com/molecule.php?qn=1406
MOL001663,"(4aS,6aR,6aS,6bR,8aR,10R,12aR,14bS)-10-hydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid",N/A,N/A,N/A,456.78,6.42,2,3,32.03,0.61,0.39,0.76,0.22,4.34,https://tcmsp-e.com/molecule.php?qn=1663
MOL001941,Ammidin,Thrombin,17,54,270.30,3.65,0,4,34.55,1.13,0.92,0.22,0.28,-1.35,https://tcmsp-e.com/molecule.php?qn=1941
MOL001941,Ammidin,Muscarinic acetylcholine receptor M1,38,103,270.30,3.65,0,4,34.55,1.13,0.92,0.22,0.28,-1.35,https://tcmsp-e.com/molecule.php?qn=1941
MOL001941,Ammidin,Prostaglandin G/H synthase 2,94,290,270.30,3.65,0,4,34.55,1.13,0.92,0.22,0.28,-1.35,https://tcmsp-e.com/molecule.php?qn=1941
MOL001941,Ammidin,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,270.30,3.65,0,4,34.55,1.13,0.92,0.22,0.28,-1.35,https://tcmsp-e.com/molecule.php?qn=1941
MOL001941,Ammidin,Dipeptidyl peptidase IV,332,952,270.30,3.65,0,4,34.55,1.13,0.92,0.22,0.28,-1.35,https://tcmsp-e.com/molecule.php?qn=1941
MOL001941,Ammidin,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,270.30,3.65,0,4,34.55,1.13,0.92,0.22,0.28,-1.35,https://tcmsp-e.com/molecule.php?qn=1941
MOL001941,Ammidin,mRNA of PKA Catalytic Subunit C-alpha,699,6263,270.30,3.65,0,4,34.55,1.13,0.92,0.22,0.28,-1.35,https://tcmsp-e.com/molecule.php?qn=1941
MOL001941,Ammidin,Amine oxidase [flavin-containing] B,565,3939,270.30,3.65,0,4,34.55,1.13,0.92,0.22,0.28,-1.35,https://tcmsp-e.com/molecule.php?qn=1941
MOL004561,Sudan III,Thrombin,17,54,352.42,7.21,1,5,84.07,0.42,0.10,0.59,0.46,8.99,https://tcmsp-e.com/molecule.php?qn=4561
MOL004561,Sudan III,Estrogen receptor,46,136,352.42,7.21,1,5,84.07,0.42,0.10,0.59,0.46,8.99,https://tcmsp-e.com/molecule.php?qn=4561
