mol_id,mol_name,mol_url,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife
MOL001955,Heriguard,https://tcmsp-e.com/molecule.php?qn=1955,354.34,-0.42,6,9,11.93,-1.03,-1.71,0.33,0.37,
MOL001406,crocetin,https://tcmsp-e.com/molecule.php?qn=1406,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03
MOL001648,genipin,https://tcmsp-e.com/molecule.php?qn=1648,226.25,-0.50,2,5,26.06,-0.37,-0.98,0.1,0.24,
MOL001663,"(4aS,6aR,6aS,6bR,8aR,10R,12aR,14bS)-10-hydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid",https://tcmsp-e.com/molecule.php?qn=1663,456.78,6.42,2,3,32.03,0.61,0.39,0.76,0.22,4.34
MOL001941,Ammidin,https://tcmsp-e.com/molecule.php?qn=1941,270.30,3.65,0,4,34.55,1.13,0.92,0.22,0.28,-1.35
MOL000437,Hirsutrin,https://tcmsp-e.com/molecule.php?qn=437,464.41,-0.59,8,12,1.86,-1.66,-2.31,0.77,0.00,
MOL004552,Isoimperatorin,https://tcmsp-e.com/molecule.php?qn=4552,266.36,4.35,0,2,15.73,1.70,1.15,0.22,0.38,
MOL004553,Gardenone,https://tcmsp-e.com/molecule.php?qn=4553,226.35,1.13,0,3,44.03,0.61,0.46,0.1,0.22,0.16
MOL004554,GARDENOSIDE,https://tcmsp-e.com/molecule.php?qn=4554,404.46,-1.68,5,10,10.55,-1.45,-1.86,0.49,0.23,
MOL004555,GARDENOSIDE_qt,https://tcmsp-e.com/molecule.php?qn=4555,242.30,0.07,2,5,52.77,-0.36,-0.91,0.12,0.25,1.70
MOL004556,crocin,https://tcmsp-e.com/molecule.php?qn=4556,977.08,-2.72,14,24,7.06,-4.64,-6.43,0.12,0.33,
MOL004557,geniposide,https://tcmsp-e.com/molecule.php?qn=4557,388.41,-2.25,5,10,14.64,-1.70,-2.61,0.44,0.27,
MOL000415,rutin,https://tcmsp-e.com/molecule.php?qn=415,610.57,-1.45,10,16,3.2,-1.93,-2.75,0.68,0.00,
MOL004559,"(1S,4aS,5R,7S,7aS)-5,7-dihydroxy-7-methyl-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4a,5,6,7a-tetrahydro-1H-cyclopenta[d]pyran-4-carboxylic acid",https://tcmsp-e.com/molecule.php?qn=4559,392.40,-3.51,7,11,2.2,-2.25,-2.97,0.44,0.28,
MOL004560,SHANZHISIDE_qt,https://tcmsp-e.com/molecule.php?qn=4560,230.24,-1.76,4,6,117.77,-1.02,-1.44,0.1,0.32,14.49
