mol_id,mol_name,target_name,target_id,drugbank_id,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife
MOL001955,Heriguard,N/A,N/A,N/A,354.34,-0.42,6,9,11.93,-1.03,-1.71,0.33,0.37,
MOL001406,crocetin,Cytochrome P450-cam,1143,2298,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03
MOL001406,crocetin,Muscarinic acetylcholine receptor M3,16,51,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03
MOL001406,crocetin,Muscarinic acetylcholine receptor M1,38,103,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03
MOL001406,crocetin,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03
MOL001406,crocetin,Gamma-aminobutyric-acid receptor alpha-5 subunit,181,523,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03
MOL001406,crocetin,Alpha-1A adrenergic receptor,191,556,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03
MOL001406,crocetin,Gamma-aminobutyric-acid receptor alpha-3 subunit,200,580,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03
MOL001406,crocetin,Muscarinic acetylcholine receptor M2,210,617,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03
MOL001406,crocetin,Alpha-1B adrenergic receptor,216,632,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03
MOL001406,crocetin,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03
MOL001406,crocetin,Ig gamma-1 chain C region,1201,4785,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03
MOL001406,crocetin,Prostaglandin G/H synthase 2,94,290,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03
MOL001406,crocetin,Nuclear receptor coactivator 2,3276,6241,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03
MOL001406,crocetin,Vascular cell adhesion protein 1,440,1908,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03
MOL001648,genipin,Prostaglandin G/H synthase 1,6,20,226.25,-0.50,2,5,26.06,-0.37,-0.98,0.1,0.24,
MOL001648,genipin,Prostaglandin G/H synthase 2,94,290,226.25,-0.50,2,5,26.06,-0.37,-0.98,0.1,0.24,
MOL001648,genipin,Carbonic anhydrase II,117,357,226.25,-0.50,2,5,26.06,-0.37,-0.98,0.1,0.24,
MOL001648,genipin,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423,226.25,-0.50,2,5,26.06,-0.37,-0.98,0.1,0.24,
MOL001648,genipin,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,226.25,-0.50,2,5,26.06,-0.37,-0.98,0.1,0.24,
MOL001648,genipin,Thymidine kinase,1218,2559,226.25,-0.50,2,5,26.06,-0.37,-0.98,0.1,0.24,
MOL001648,genipin,Trypsin-1,2928,3176,226.25,-0.50,2,5,26.06,-0.37,-0.98,0.1,0.24,
MOL001648,genipin,Glutamate receptor 2,3216,921,226.25,-0.50,2,5,26.06,-0.37,-0.98,0.1,0.24,
MOL001648,genipin,Gamma-aminobutyric-acid receptor subunit alpha-6,3284,841,226.25,-0.50,2,5,26.06,-0.37,-0.98,0.1,0.24,
MOL001648,genipin,Canalicular multispecific organic anion transporter 1,4079,N/A,226.25,-0.50,2,5,26.06,-0.37,-0.98,0.1,0.24,
MOL001663,"(4aS,6aR,6aS,6bR,8aR,10R,12aR,14bS)-10-hydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid",N/A,N/A,N/A,456.78,6.42,2,3,32.03,0.61,0.39,0.76,0.22,4.34
MOL001941,Ammidin,Thrombin,17,54,270.30,3.65,0,4,34.55,1.13,0.92,0.22,0.28,-1.35
MOL001941,Ammidin,Muscarinic acetylcholine receptor M1,38,103,270.30,3.65,0,4,34.55,1.13,0.92,0.22,0.28,-1.35
MOL001941,Ammidin,Prostaglandin G/H synthase 2,94,290,270.30,3.65,0,4,34.55,1.13,0.92,0.22,0.28,-1.35
MOL001941,Ammidin,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,270.30,3.65,0,4,34.55,1.13,0.92,0.22,0.28,-1.35
MOL001941,Ammidin,Dipeptidyl peptidase IV,332,952,270.30,3.65,0,4,34.55,1.13,0.92,0.22,0.28,-1.35
MOL001941,Ammidin,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,270.30,3.65,0,4,34.55,1.13,0.92,0.22,0.28,-1.35
MOL001941,Ammidin,mRNA of PKA Catalytic Subunit C-alpha,699,6263,270.30,3.65,0,4,34.55,1.13,0.92,0.22,0.28,-1.35
MOL001941,Ammidin,Amine oxidase [flavin-containing] B,565,3939,270.30,3.65,0,4,34.55,1.13,0.92,0.22,0.28,-1.35
MOL000437,Hirsutrin,DNA topoisomerase II,287,817,464.41,-0.59,8,12,1.86,-1.66,-2.31,0.77,0.00,
MOL000437,Hirsutrin,"mRNA of Protein-tyrosine phosphatase, non-receptor type 1",229,687,464.41,-0.59,8,12,1.86,-1.66,-2.31,0.77,0.00,
MOL000437,Hirsutrin,Coagulation factor Xa,79,239,464.41,-0.59,8,12,1.86,-1.66,-2.31,0.77,0.00,
