mol_id,mol_name,target_name,target_id,drugbank_id,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife,mol_url
MOL001689,acacetin,"Nitric oxide synthase, inducible",3,7,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,https://tcmsp-e.com/molecule.php?qn=1689
MOL001689,acacetin,Prostaglandin G/H synthase 1,6,20,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,https://tcmsp-e.com/molecule.php?qn=1689
MOL001689,acacetin,Androgen receptor,48,146,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,https://tcmsp-e.com/molecule.php?qn=1689
MOL001689,acacetin,Prostaglandin G/H synthase 2,94,290,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,https://tcmsp-e.com/molecule.php?qn=1689
MOL001689,acacetin,Dipeptidyl peptidase IV,332,952,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,https://tcmsp-e.com/molecule.php?qn=1689
MOL001689,acacetin,Heat shock protein HSP 90,444,1939,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,https://tcmsp-e.com/molecule.php?qn=1689
MOL001689,acacetin,Cell division protein kinase 2,482,2240,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,https://tcmsp-e.com/molecule.php?qn=1689
MOL001689,acacetin,mRNA of PKA Catalytic Subunit C-alpha,699,6263,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,https://tcmsp-e.com/molecule.php?qn=1689
MOL001689,acacetin,Trypsin-1,2928,3176,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,https://tcmsp-e.com/molecule.php?qn=1689
MOL001689,acacetin,Nuclear receptor coactivator 2,3276,6241,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,https://tcmsp-e.com/molecule.php?qn=1689
MOL001689,acacetin,Nuclear receptor coactivator 1,3279,6228,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,https://tcmsp-e.com/molecule.php?qn=1689
MOL001689,acacetin,Calmodulin,3907,465,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,https://tcmsp-e.com/molecule.php?qn=1689
MOL001689,acacetin,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,https://tcmsp-e.com/molecule.php?qn=1689
MOL001689,acacetin,Serine/threonine-protein kinase Chk1,647,5790,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,https://tcmsp-e.com/molecule.php?qn=1689
MOL001689,acacetin,Beta-2 adrenergic receptor,261,766,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,https://tcmsp-e.com/molecule.php?qn=1689
MOL001689,acacetin,"CGMP-inhibited 3',5'-cyclic phosphodiesterase A",172,485,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25,https://tcmsp-e.com/molecule.php?qn=1689
