mol_id,mol_name,mol_url,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife
MOL000122,"1,8-cineole",https://tcmsp-e.com/molecule.php?qn=122,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29
MOL001300,PEL,https://tcmsp-e.com/molecule.php?qn=1300,122.18,1.55,1,1,44.03,1.11,1.13,0.02,0.37,-2.41
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,284.28,2.59,2,5,30.68,0.79,0.04,0.23,0.32,17.75
MOL013068,Oroxindin,https://tcmsp-e.com/molecule.php?qn=13068,459.41,0.21,4,11,7.07,-1.68,-2.15,0.77,0.04,
MOL000018,(+/-)-Isoborneol,https://tcmsp-e.com/molecule.php?qn=18,154.28,1.98,1,1,86.98,1.27,1.60,0.05,0.00,11.36
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,154.28,2.74,1,1,39.8,1.33,1.36,0.02,0.32,6.48
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,121.12,0.76,0,2,31.55,0.54,0.84,0.02,0.11,12.07
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,270.30,2.82,1,4,55.23,0.87,0.26,0.2,0.34,17.02
MOL000024,alpha-humulene,https://tcmsp-e.com/molecule.php?qn=24,204.39,5.04,0,0,22.98,1.88,2.08,0.06,0.00,
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,164.22,2.55,1,2,56.24,1.35,1.32,0.04,0.32,0.92
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,254.25,2.60,2,4,22.61,0.70,0.01,0.18,0.42,
MOL002573,β-patchoulene,https://tcmsp-e.com/molecule.php?qn=2573,204.39,4.32,0,0,50.69,1.79,2.16,0.11,0.22,14.26
MOL002714,baicalein,https://tcmsp-e.com/molecule.php?qn=2714,270.25,2.33,3,5,33.52,0.63,-0.05,0.21,0.36,16.25
MOL002737,scutellarein,https://tcmsp-e.com/molecule.php?qn=2737,286.25,2.07,4,6,18.97,0.31,-0.54,0.24,0.35,
MOL002908,"5,8,2'-Trihydroxy-7-methoxyflavone",https://tcmsp-e.com/molecule.php?qn=2908,300.28,2.32,3,6,37.01,0.76,-0.07,0.27,0.28,16.17
MOL002909,"5,7,2,5-tetrahydroxy-8,6-dimethoxyflavone",https://tcmsp-e.com/molecule.php?qn=2909,376.34,2.02,4,9,33.82,0.35,-0.59,0.45,0.19,15.94
MOL002910,Carthamidin,https://tcmsp-e.com/molecule.php?qn=2910,288.27,2.03,4,6,41.15,0.16,-0.42,0.24,0.36,15.81
MOL002911,"2,6,2',4'-tetrahydroxy-6'-methoxychaleone",https://tcmsp-e.com/molecule.php?qn=2911,302.30,2.62,4,6,69.04,-0.07,-0.32,0.22,0.34,21.89
MOL002912,Dihydrobaicalin,https://tcmsp-e.com/molecule.php?qn=2912,448.41,0.60,6,11,20.85,-0.84,-1.42,0.75,0.34,
MOL002913,Dihydrobaicalin_qt,https://tcmsp-e.com/molecule.php?qn=2913,272.27,2.30,3,5,40.04,0.56,0.18,0.21,0.36,16.13
MOL002914,Eriodyctiol (flavanone),https://tcmsp-e.com/molecule.php?qn=2914,288.27,2.03,4,6,41.35,0.05,-0.66,0.24,0.39,15.88
MOL002915,Salvigenin,https://tcmsp-e.com/molecule.php?qn=2915,328.34,2.82,1,6,49.07,0.86,-0.03,0.33,0.21,15.87
MOL002916,"2-(2,6-dihydroxyphenyl)-3,5,7-trihydroxy-chromone",https://tcmsp-e.com/molecule.php?qn=2916,302.25,1.50,5,7,16.44,0.07,-0.42,0.27,0.43,
MOL002917,"5,2',6'-Trihydroxy-7,8-dimethoxyflavone",https://tcmsp-e.com/molecule.php?qn=2917,330.31,2.30,3,7,45.05,0.48,-0.11,0.33,0.25,16.37
MOL002918,Ganhuangenin,https://tcmsp-e.com/molecule.php?qn=2918,346.31,2.03,4,8,1.34,0.28,-0.57,0.37,0.25,
MOL002919,Viscidulin III,https://tcmsp-e.com/molecule.php?qn=2919,346.31,1.74,4,8,14.36,0.27,-0.27,0.37,0.27,
MOL000169,alpha-Guaiene,https://tcmsp-e.com/molecule.php?qn=169,204.39,4.99,0,0,25.93,1.81,2.09,0.07,0.26,
MOL002921,"(2S,3R,4R,5R,6S)-2-[(2R,3R,4S,5R,6R)-3,5-dihydroxy-2-[2-(3-hydroxy-4-methoxy-phenyl)ethoxy]-6-methylol-tetrahydropyran-4-yl]oxy-6-methyl-tetrahydropyran-3,4,5-triol",https://tcmsp-e.com/molecule.php?qn=2921,476.53,-1.34,7,12,12.69,-1.62,-2.27,0.67,0.26,
MOL002922,5-(2-hydroxyethyl)-2-methoxyphenol,https://tcmsp-e.com/molecule.php?qn=2922,168.21,1.26,2,3,31.95,0.60,0.21,0.04,0.26,4.07
MOL002923,darendoside B,https://tcmsp-e.com/molecule.php?qn=2923,476.53,-1.46,7,12,10.75,-1.59,-2.00,0.59,0.24,
MOL002924,darendoside B_qt,https://tcmsp-e.com/molecule.php?qn=2924,330.37,-0.60,5,8,10.05,-0.74,-1.11,0.22,0.23,
MOL002925,"5,7,2',6'-Tetrahydroxyflavone",https://tcmsp-e.com/molecule.php?qn=2925,286.25,2.07,4,6,37.01,0.18,-0.56,0.24,0.38,18.00
MOL002926,dihydrooroxylin A,https://tcmsp-e.com/molecule.php?qn=2926,286.30,2.55,2,5,38.72,0.71,0.03,0.23,0.29,17.58
MOL002927,Skullcapflavone II,https://tcmsp-e.com/molecule.php?qn=2927,374.37,2.54,2,8,69.51,0.68,-0.07,0.44,0.20,16.14
MOL002928,oroxylin a,https://tcmsp-e.com/molecule.php?qn=2928,284.28,2.59,2,5,41.37,0.76,0.13,0.23,0.29,17.15
MOL002929,salidroside,https://tcmsp-e.com/molecule.php?qn=2929,300.34,-0.47,5,7,7.01,-0.82,-1.41,0.2,0.30,
MOL002930,Tyrosol,https://tcmsp-e.com/molecule.php?qn=2930,138.18,1.28,2,2,33.81,0.65,0.25,0.02,0.36,-2.55
MOL002931,scutellarin,https://tcmsp-e.com/molecule.php?qn=2931,462.39,0.37,7,12,2.64,-1.08,-2.13,0.79,0.36,
MOL002932,Panicolin,https://tcmsp-e.com/molecule.php?qn=2932,314.31,2.57,2,6,76.26,0.84,0.31,0.29,0.24,16.78
MOL002933,"5,7,4'-Trihydroxy-8-methoxyflavone",https://tcmsp-e.com/molecule.php?qn=2933,300.28,2.32,3,6,36.56,0.46,-0.40,0.27,0.31,16.93
MOL002934,NEOBAICALEIN,https://tcmsp-e.com/molecule.php?qn=2934,374.37,2.54,2,8,104.34,0.74,-0.19,0.44,0.18,16.50
MOL002935,Baicalin,https://tcmsp-e.com/molecule.php?qn=2935,460.42,0.84,6,11,29.53,-1.10,-1.97,0.77,0.37,
MOL002936,"5,8-Dihydroxy-6,7-dimethoxyflavone",https://tcmsp-e.com/molecule.php?qn=2936,314.31,2.57,2,6,5.74,0.97,0.09,0.29,0.28,
MOL002937,DIHYDROOROXYLIN,https://tcmsp-e.com/molecule.php?qn=2937,286.30,2.55,2,5,66.06,0.67,0.13,0.23,0.31,17.17
MOL000357,Sitogluside,https://tcmsp-e.com/molecule.php?qn=357,576.95,6.34,4,6,20.63,-0.14,-0.93,0.62,0.23,
MOL000358,beta-sitosterol,https://tcmsp-e.com/molecule.php?qn=358,414.79,8.08,1,1,36.91,1.32,0.99,0.75,0.23,5.36
MOL000359,sitosterol,https://tcmsp-e.com/molecule.php?qn=359,414.79,8.08,1,1,36.91,1.32,0.87,0.75,0.22,5.37
MOL000396,(+)-Syringaresinol,https://tcmsp-e.com/molecule.php?qn=396,418.48,2.10,2,8,3.29,0.47,-0.34,0.72,0.00,
MOL000458,campesterol,https://tcmsp-e.com/molecule.php?qn=458,400.76,7.97,1,1,5.57,1.60,1.41,0.72,0.22,
MOL000525,Norwogonin,https://tcmsp-e.com/molecule.php?qn=525,270.25,2.33,3,5,39.4,0.60,-0.17,0.21,0.39,16.93
MOL000552,"5,2'-Dihydroxy-6,7,8-trimethoxyflavone",https://tcmsp-e.com/molecule.php?qn=552,344.34,2.55,2,7,31.71,0.93,-.00,0.35,0.22,16.47
MOL000612,(-)-alpha-cedrene,https://tcmsp-e.com/molecule.php?qn=612,204.39,4.12,0,0,55.56,1.81,2.16,0.1,0.24,4.82
MOL000007,Cosmetin,https://tcmsp-e.com/molecule.php?qn=7,432.41,0.43,6,10,9.68,-1.08,-2.26,0.74,0.32,
MOL000709,(S)-Matsutake alcohol,https://tcmsp-e.com/molecule.php?qn=709,128.24,2.53,1,1,40.11,1.19,1.35,0.01,0.28,5.62
MOL000715,l-Menthone,https://tcmsp-e.com/molecule.php?qn=715,154.28,2.60,0,1,57.9,1.35,1.70,0.03,0.24,10.57
MOL000008,apigenin,https://tcmsp-e.com/molecule.php?qn=8,270.25,2.33,3,5,23.06,0.43,-0.61,0.21,0.41,
MOL003127,Germacrene D,https://tcmsp-e.com/molecule.php?qn=3127,204.39,5.14,0,0,19.22,1.83,2.02,0.06,0.00,
MOL000035,beta-Selinene,https://tcmsp-e.com/molecule.php?qn=35,204.39,4.81,0,0,24.39,1.83,2.12,0.08,0.00,
MOL000069,palmitic acid,https://tcmsp-e.com/molecule.php?qn=69,256.48,6.37,1,2,19.3,1.09,1.00,0.1,0.00,
MOL000073,ent-Epicatechin,https://tcmsp-e.com/molecule.php?qn=73,290.29,1.92,5,6,48.96,0.02,-0.64,0.24,0.34,0.63
MOL000131,EIC,https://tcmsp-e.com/molecule.php?qn=131,280.50,6.39,1,2,41.9,1.16,0.90,0.14,0.25,7.50
MOL000303,caprylic acid,https://tcmsp-e.com/molecule.php?qn=303,144.24,2.72,1,2,16.4,0.90,1.02,0.02,0.00,
MOL000449,Stigmasterol,https://tcmsp-e.com/molecule.php?qn=449,412.77,7.64,1,1,43.83,1.44,1.00,0.76,0.22,5.57
MOL000610,TRD,https://tcmsp-e.com/molecule.php?qn=610,184.41,6.30,0,0,17.89,1.78,1.96,0.03,0.19,
MOL000654,Methyl montanate,https://tcmsp-e.com/molecule.php?qn=654,438.87,12.09,0,2,13.2,1.51,0.99,0.48,0.14,
MOL000669,(S)-camphor,https://tcmsp-e.com/molecule.php?qn=669,152.26,1.94,0,1,21.68,1.28,1.74,0.05,0.28,
MOL000676,DBP,https://tcmsp-e.com/molecule.php?qn=676,278.38,4.20,0,4,64.54,0.80,0.56,0.13,0.34,5.41
MOL000708,WLN: VHR,https://tcmsp-e.com/molecule.php?qn=708,106.13,1.59,0,1,32.63,1.32,1.66,0.01,0.44,12.07
MOL000714,Hyacinthin,https://tcmsp-e.com/molecule.php?qn=714,120.16,1.52,0,1,38.65,1.31,1.58,0.02,0.43,-2.04
MOL000717,d-isomenthone,https://tcmsp-e.com/molecule.php?qn=717,154.28,2.60,0,1,61.2,1.35,1.74,0.03,0.23,10.86
MOL000771,p-coumaric acid,https://tcmsp-e.com/molecule.php?qn=771,164.17,1.64,2,3,43.29,0.46,0.13,0.04,0.45,4.43
MOL000789,jatrorrizine,https://tcmsp-e.com/molecule.php?qn=789,338.41,3.40,1,4,19.65,1.28,0.36,0.59,0.00,
MOL000860,stearic acid,https://tcmsp-e.com/molecule.php?qn=860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,
MOL000864,MYS,https://tcmsp-e.com/molecule.php?qn=864,212.47,7.22,0,0,13.98,1.81,1.92,0.05,0.15,
MOL000867,Heptadekan,https://tcmsp-e.com/molecule.php?qn=867,240.53,8.13,0,0,8.64,1.84,1.87,0.07,0.14,
MOL000868,LFA,https://tcmsp-e.com/molecule.php?qn=868,282.62,9.50,0,0,8.46,1.83,1.80,0.13,0.13,
MOL000869,Henicosane,https://tcmsp-e.com/molecule.php?qn=869,296.65,9.95,0,0,8.41,1.84,1.80,0.15,0.13,
MOL000870,HEXATRIACONTANE,https://tcmsp-e.com/molecule.php?qn=870,507.10,16.80,0,0,7.95,1.99,1.61,0.41,0.11,
MOL000879,methyl palmitate,https://tcmsp-e.com/molecule.php?qn=879,270.51,6.62,0,2,18.09,1.37,1.18,0.12,0.14,
MOL000885,Dodekan,https://tcmsp-e.com/molecule.php?qn=885,170.38,5.85,0,0,17.74,1.79,1.96,0.02,0.16,
MOL001132,longipinene,https://tcmsp-e.com/molecule.php?qn=1132,204.39,4.12,0,0,17.01,1.84,2.10,0.12,0.23,
MOL001386,Methyl laurate,https://tcmsp-e.com/molecule.php?qn=1386,214.39,4.79,0,2,21.75,1.32,1.24,0.05,0.15,
MOL001392,Methyl myristate,https://tcmsp-e.com/molecule.php?qn=1392,242.45,5.71,0,2,19.68,1.36,1.19,0.08,0.14,
MOL001393,myristic acid,https://tcmsp-e.com/molecule.php?qn=1393,228.42,5.46,1,2,21.18,1.07,0.99,0.07,0.19,
MOL001458,coptisine,https://tcmsp-e.com/molecule.php?qn=1458,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33
MOL001490,"bis[(2S)-2-ethylhexyl] benzene-1,2-dicarboxylate",https://tcmsp-e.com/molecule.php?qn=1490,390.62,7.57,0,4,43.59,0.98,0.68,0.35,0.28,3.02
MOL001506,Supraene,https://tcmsp-e.com/molecule.php?qn=1506,410.80,11.33,0,0,33.55,2.08,1.73,0.42,0.27,2.72
MOL001578,Hypnon,https://tcmsp-e.com/molecule.php?qn=1578,120.16,1.57,0,1,48.19,1.36,1.54,0.02,0.45,25.20
MOL001817,Methyl stearate,https://tcmsp-e.com/molecule.php?qn=1817,298.57,7.53,0,2,16.8,1.41,1.29,0.16,0.16,
MOL001818,Methyl palmitelaidate,https://tcmsp-e.com/molecule.php?qn=1818,268.49,6.17,0,2,34.61,1.40,1.22,0.12,0.17,5.58
MOL001889,Methyl linolelaidate,https://tcmsp-e.com/molecule.php?qn=1889,294.53,6.64,0,2,41.93,1.46,1.11,0.17,0.20,5.78
MOL001972,Pulegone,https://tcmsp-e.com/molecule.php?qn=1972,152.26,2.75,0,1,51.6,1.39,1.74,0.03,0.26,11.19
MOL002027,Methyl behenate,https://tcmsp-e.com/molecule.php?qn=2027,354.69,9.36,0,2,14.96,1.45,1.20,0.29,0.16,
MOL002046,hexanoic acid,https://tcmsp-e.com/molecule.php?qn=2046,116.18,1.81,1,2,73.08,0.80,0.93,0.01,0.27,10.81
MOL002137,OCT,https://tcmsp-e.com/molecule.php?qn=2137,114.26,4.02,0,0,29.72,1.78,2.02,0.01,0.19,
MOL002202,tetramethylpyrazine,https://tcmsp-e.com/molecule.php?qn=2202,136.22,0.66,0,2,20.01,1.19,1.05,0.03,0.31,
MOL002378,UND,https://tcmsp-e.com/molecule.php?qn=2378,156.35,5.39,0,0,17.15,1.79,2.02,0.02,0.18,
MOL002819,catalpol,https://tcmsp-e.com/molecule.php?qn=2819,362.37,-3.77,6,10,5.07,-1.72,-2.33,0.44,0.22,
MOL002879,Diop,https://tcmsp-e.com/molecule.php?qn=2879,390.62,7.44,0,4,43.59,0.79,0.26,0.39,0.28,3.60
MOL002897,epiberberine,https://tcmsp-e.com/molecule.php?qn=2897,336.39,3.45,0,4,43.09,1.17,0.40,0.78,0.19,6.10
MOL003050,nonanoic acid,https://tcmsp-e.com/molecule.php?qn=3050,158.27,3.17,1,2,40.51,0.92,1.08,0.02,0.23,4.15
MOL003055,heptadecyloxirane,https://tcmsp-e.com/molecule.php?qn=3055,282.57,7.61,0,1,12.44,1.67,1.70,0.15,0.15,
MOL003393,"(1S,4S)-7-isopropylidene-1,4-dimethyl-2,3,4,5,6,8-hexahydro-1H-azulene",https://tcmsp-e.com/molecule.php?qn=3393,204.39,5.13,0,0,24.38,1.86,2.07,0.07,0.23,
MOL003475,9-Cedranone,https://tcmsp-e.com/molecule.php?qn=3475,220.39,3.02,0,1,67.6,1.26,1.47,0.12,0.27,4.99
MOL003535,"1,1,6-trimethyl-2H-naphthalene",https://tcmsp-e.com/molecule.php?qn=3535,172.29,3.84,0,0,24.94,1.88,1.99,0.06,0.34,
MOL003568,Patchoulene,https://tcmsp-e.com/molecule.php?qn=3568,204.39,4.32,0,0,49.06,1.82,2.17,0.11,0.00,14.10
MOL003920,Methyl icosanoate,https://tcmsp-e.com/molecule.php?qn=3920,326.63,8.44,0,2,15.79,1.43,1.12,0.22,0.15,
MOL004464,MEHQ,https://tcmsp-e.com/molecule.php?qn=4464,124.15,1.55,1,2,43.98,1.27,1.33,0.02,0.32,11.69
MOL004682,Methyl octylate,https://tcmsp-e.com/molecule.php?qn=4682,158.27,2.97,0,2,18.71,1.23,1.32,0.02,0.18,
MOL004684,methyl (E)-octadec-2-enoate,https://tcmsp-e.com/molecule.php?qn=4684,296.55,7.51,0,2,29.84,1.42,1.40,0.17,0.18,
