mol_id,mol_name,target_name,target_id,drugbank_id,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife
MOL000122,"1,8-cineole","Nitric-oxide synthase, endothelial",95,291,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29
MOL000122,"1,8-cineole",Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29
MOL000122,"1,8-cineole",Gamma-aminobutyric acid receptor subunit alpha-1,309,872,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29
MOL000122,"1,8-cineole",Cytochrome P450-cam,1143,2298,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29
MOL000122,"1,8-cineole",Prostaglandin G/H synthase 2,94,290,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29
MOL000122,"1,8-cineole",Gamma-aminobutyric-acid receptor alpha-5 subunit,181,523,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29
MOL000122,"1,8-cineole",Alcohol dehydrogenase 1B,726,444,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29
MOL000122,"1,8-cineole",Alcohol dehydrogenase 1C,727,517,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29
MOL000122,"1,8-cineole",Neuronal acetylcholine receptor subunit alpha-2,284,813,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29
MOL000122,"1,8-cineole",Gamma-aminobutyric-acid receptor alpha-3 subunit,200,580,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29
MOL000122,"1,8-cineole","Proline dehydrogenase, mitochondrial",4451,N/A,154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29
MOL001300,PEL,Alcohol dehydrogenase 1B,726,444,122.18,1.55,1,1,44.03,1.11,1.13,0.02,0.37,-2.41
MOL001300,PEL,Alcohol dehydrogenase 1C,727,517,122.18,1.55,1,1,44.03,1.11,1.13,0.02,0.37,-2.41
MOL001300,PEL,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,2262,2264,122.18,1.55,1,1,44.03,1.11,1.13,0.02,0.37,-2.41
MOL001300,PEL,Trypsin-3,3952,2886,122.18,1.55,1,1,44.03,1.11,1.13,0.02,0.37,-2.41
MOL001300,PEL,Alcohol dehydrogenase 1A,729,251,122.18,1.55,1,1,44.03,1.11,1.13,0.02,0.37,-2.41
MOL001300,PEL,Amine oxidase [flavin-containing] A,566,3941,122.18,1.55,1,1,44.03,1.11,1.13,0.02,0.37,-2.41
MOL001689,acacetin,"Nitric oxide synthase, inducible",3,7,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25
MOL001689,acacetin,Prostaglandin G/H synthase 1,6,20,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25
MOL001689,acacetin,Androgen receptor,48,146,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25
MOL001689,acacetin,Prostaglandin G/H synthase 2,94,290,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25
MOL001689,acacetin,Dipeptidyl peptidase IV,332,952,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25
MOL001689,acacetin,Heat shock protein HSP 90,444,1939,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25
MOL001689,acacetin,Cell division protein kinase 2,482,2240,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25
MOL001689,acacetin,mRNA of PKA Catalytic Subunit C-alpha,699,6263,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25
MOL001689,acacetin,Trypsin-1,2928,3176,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25
