mol_id,mol_name,target_name,target_id,drugbank_id,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife,mol_url
MOL001454,berberine,"Nitric oxide synthase, inducible",3,7,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Prostaglandin G/H synthase 1,6,20,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Potassium voltage-gated channel subfamily H member 2,37,101,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Estrogen receptor,46,136,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Androgen receptor,48,146,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Sodium channel protein type 5 subunit alpha,70,220,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Coagulation factor Xa,79,239,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Prostaglandin G/H synthase 2,94,290,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,"Nitric-oxide synthase, endothelial",95,291,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Retinoic acid receptor RXR-alpha,158,459,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Beta-2 adrenergic receptor,261,766,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Heat shock protein HSP 90,444,1939,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,mRNA of PKA Catalytic Subunit C-alpha,699,6263,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Trypsin-1,2928,3176,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Nuclear receptor coactivator 2,3276,6241,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",3868,695,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Calmodulin,3907,465,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL013352,Obacunone,N/A,N/A,N/A,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,https://tcmsp-e.com/molecule.php?qn=13352
MOL002894,berberrubine,"Nitric oxide synthase, inducible",3,7,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,https://tcmsp-e.com/molecule.php?qn=2894
MOL002894,berberrubine,Prostaglandin G/H synthase 1,6,20,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,https://tcmsp-e.com/molecule.php?qn=2894
MOL002894,berberrubine,Potassium voltage-gated channel subfamily H member 2,37,101,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,https://tcmsp-e.com/molecule.php?qn=2894
MOL002894,berberrubine,Estrogen receptor,46,136,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,https://tcmsp-e.com/molecule.php?qn=2894
MOL002894,berberrubine,Androgen receptor,48,146,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,https://tcmsp-e.com/molecule.php?qn=2894
MOL002894,berberrubine,Sodium channel protein type 5 subunit alpha,70,220,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,https://tcmsp-e.com/molecule.php?qn=2894
MOL002894,berberrubine,Prostaglandin G/H synthase 2,94,290,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,https://tcmsp-e.com/molecule.php?qn=2894
MOL002894,berberrubine,"Nitric-oxide synthase, endothelial",95,291,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,https://tcmsp-e.com/molecule.php?qn=2894
MOL002894,berberrubine,Retinoic acid receptor RXR-alpha,158,459,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,https://tcmsp-e.com/molecule.php?qn=2894
MOL002894,berberrubine,mRNA of PKA Catalytic Subunit C-alpha,699,6263,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,https://tcmsp-e.com/molecule.php?qn=2894
MOL002894,berberrubine,Trypsin-1,2928,3176,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,https://tcmsp-e.com/molecule.php?qn=2894
MOL002894,berberrubine,Nuclear receptor coactivator 2,3276,6241,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,https://tcmsp-e.com/molecule.php?qn=2894
MOL002894,berberrubine,Calmodulin,3907,465,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,https://tcmsp-e.com/molecule.php?qn=2894
MOL002897,epiberberine,"Nitric oxide synthase, inducible",3,7,336.39,3.45,0,4,43.09,1.17,0.40,0.78,0.19,6.10,https://tcmsp-e.com/molecule.php?qn=2897
MOL002897,epiberberine,Potassium voltage-gated channel subfamily H member 2,37,101,336.39,3.45,0,4,43.09,1.17,0.40,0.78,0.19,6.10,https://tcmsp-e.com/molecule.php?qn=2897
MOL002897,epiberberine,Estrogen receptor,46,136,336.39,3.45,0,4,43.09,1.17,0.40,0.78,0.19,6.10,https://tcmsp-e.com/molecule.php?qn=2897
MOL002897,epiberberine,Androgen receptor,48,146,336.39,3.45,0,4,43.09,1.17,0.40,0.78,0.19,6.10,https://tcmsp-e.com/molecule.php?qn=2897
MOL002897,epiberberine,Prostaglandin G/H synthase 2,94,290,336.39,3.45,0,4,43.09,1.17,0.40,0.78,0.19,6.10,https://tcmsp-e.com/molecule.php?qn=2897
MOL002897,epiberberine,"Nitric-oxide synthase, endothelial",95,291,336.39,3.45,0,4,43.09,1.17,0.40,0.78,0.19,6.10,https://tcmsp-e.com/molecule.php?qn=2897
MOL002897,epiberberine,Retinoic acid receptor RXR-alpha,158,459,336.39,3.45,0,4,43.09,1.17,0.40,0.78,0.19,6.10,https://tcmsp-e.com/molecule.php?qn=2897
MOL002897,epiberberine,mRNA of PKA Catalytic Subunit C-alpha,699,6263,336.39,3.45,0,4,43.09,1.17,0.40,0.78,0.19,6.10,https://tcmsp-e.com/molecule.php?qn=2897
MOL002897,epiberberine,Trypsin-1,2928,3176,336.39,3.45,0,4,43.09,1.17,0.40,0.78,0.19,6.10,https://tcmsp-e.com/molecule.php?qn=2897
MOL002897,epiberberine,Nuclear receptor coactivator 2,3276,6241,336.39,3.45,0,4,43.09,1.17,0.40,0.78,0.19,6.10,https://tcmsp-e.com/molecule.php?qn=2897
MOL002897,epiberberine,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",3868,695,336.39,3.45,0,4,43.09,1.17,0.40,0.78,0.19,6.10,https://tcmsp-e.com/molecule.php?qn=2897
