mol_id,mol_name,target_name,target_id,drugbank_id,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife
MOL001454,berberine,"Nitric oxide synthase, inducible",3,7,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Prostaglandin G/H synthase 1,6,20,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Potassium voltage-gated channel subfamily H member 2,37,101,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Estrogen receptor,46,136,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Androgen receptor,48,146,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Sodium channel protein type 5 subunit alpha,70,220,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Coagulation factor Xa,79,239,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Prostaglandin G/H synthase 2,94,290,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,"Nitric-oxide synthase, endothelial",95,291,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Retinoic acid receptor RXR-alpha,158,459,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Beta-2 adrenergic receptor,261,766,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Heat shock protein HSP 90,444,1939,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,mRNA of PKA Catalytic Subunit C-alpha,699,6263,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Trypsin-1,2928,3176,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Nuclear receptor coactivator 2,3276,6241,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",3868,695,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Calmodulin,3907,465,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001457,columbamine,"Nitric oxide synthase, inducible",3,7,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,Prostaglandin G/H synthase 1,6,20,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,Potassium voltage-gated channel subfamily H member 2,37,101,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,Androgen receptor,48,146,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,Sodium channel protein type 5 subunit alpha,70,220,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,Coagulation factor Xa,79,239,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,Prostaglandin G/H synthase 2,94,290,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,"Nitric-oxide synthase, endothelial",95,291,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,Coagulation factor VII,123,369,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,Heat shock protein HSP 90,444,1939,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,mRNA of PKA Catalytic Subunit C-alpha,699,6263,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,Trypsin-1,2928,3176,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,Nuclear receptor coactivator 2,3276,6241,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,Nuclear receptor coactivator 1,3279,6228,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,Calmodulin,3907,465,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,Retinoic acid receptor RXR-alpha,158,459,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,Beta-2 adrenergic receptor,261,766,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,Beta-secretase,387,1406,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,Pregnane X receptor,371,1284,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,Calcium-activated potassium channel subunit alpha 1,3727,610,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001457,columbamine,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",3868,695,338.41,3.40,1,4,26.94,1.01,0.11,0.59,0.17,
MOL001867,Isovanillin,Prostaglandin G/H synthase 1,6,20,152.16,1.31,1,3,31.01,0.75,0.50,0.03,0.31,4.72
MOL001867,Isovanillin,Prostaglandin G/H synthase 2,94,290,152.16,1.31,1,3,31.01,0.75,0.50,0.03,0.31,4.72
MOL001867,Isovanillin,Amine oxidase [flavin-containing] B,565,3939,152.16,1.31,1,3,31.01,0.75,0.50,0.03,0.31,4.72
MOL001867,Isovanillin,Amine oxidase [flavin-containing] A,566,3941,152.16,1.31,1,3,31.01,0.75,0.50,0.03,0.31,4.72
MOL001867,Isovanillin,Lysozyme,1172,2300,152.16,1.31,1,3,31.01,0.75,0.50,0.03,0.31,4.72
MOL001867,Isovanillin,Chymotrypsinogen B,1696,6011,152.16,1.31,1,3,31.01,0.75,0.50,0.03,0.31,4.72
MOL001955,Heriguard,N/A,N/A,N/A,354.34,-0.42,6,9,11.93,-1.03,-1.71,0.33,0.37,
MOL002329,Javanicin,N/A,N/A,N/A,508.52,-1.24,0,12,17.38,-0.86,-1.34,0.78,0.34,
MOL002637,Obacunoic acid,N/A,N/A,N/A,472.58,2.07,2,8,20.69,-0.74,-1.28,0.79,0.33,
MOL002639,Obamegine,N/A,N/A,N/A,594.76,6.72,2,8,2.55,0.95,0.25,0.11,0.26,
MOL002664,Fagarine,Heat shock protein HSP 90,444,1939,229.25,2.35,0,4,72.23,1.08,0.96,0.15,0.20,-0.20
