mol_id,mol_name,mol_url,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001458,coptisine,https://tcmsp-e.com/molecule.php?qn=1458,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33
MOL002636,Kihadalactone A,https://tcmsp-e.com/molecule.php?qn=2636,512.70,3.96,0,7,34.21,0.19,-0.51,0.82,0.29,-6.27
MOL013352,Obacunone,https://tcmsp-e.com/molecule.php?qn=13352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04
MOL002641,Phellavin_qt,https://tcmsp-e.com/molecule.php?qn=2641,374.42,2.51,5,7,35.86,-0.41,-1.32,0.44,0.33,15.81
MOL002643,delta 7-stigmastenol,https://tcmsp-e.com/molecule.php?qn=2643,414.79,8.08,1,1,37.42,1.30,0.83,0.75,0.22,5.27
MOL002644,Phellopterin,https://tcmsp-e.com/molecule.php?qn=2644,300.33,3.64,0,5,40.19,0.98,0.48,0.28,0.24,-1.64
MOL002651,Dehydrotanshinone II A,https://tcmsp-e.com/molecule.php?qn=2651,292.35,4.22,0,3,43.76,1.02,0.52,0.4,0.33,23.71
MOL002652,delta7-Dehydrosophoramine,https://tcmsp-e.com/molecule.php?qn=2652,242.35,1.09,0,3,54.45,0.99,0.75,0.25,0.22,5.52
MOL002656,dihydroniloticin,https://tcmsp-e.com/molecule.php?qn=2656,458.80,5.66,2,3,36.43,0.65,0.03,0.81,0.25,7.04
MOL002659,kihadanin A,https://tcmsp-e.com/molecule.php?qn=2659,486.56,1.76,1,9,31.6,-0.93,-1.36,0.7,0.38,2.68
MOL002660,niloticin,https://tcmsp-e.com/molecule.php?qn=2660,456.78,5.62,1,3,41.41,0.54,-0.20,0.82,0.27,5.19
MOL002662,rutaecarpine,https://tcmsp-e.com/molecule.php?qn=2662,287.34,3.36,1,3,40.3,1.13,0.71,0.6,0.33,8.21
MOL002663,Skimmianin,https://tcmsp-e.com/molecule.php?qn=2663,259.28,2.33,0,5,40.14,1.26,1.10,0.2,0.14,-2.43
MOL002666,Chelerythrine,https://tcmsp-e.com/molecule.php?qn=2666,332.37,4.29,0,4,34.18,1.24,0.28,0.78,0.36,6.32
MOL000449,Stigmasterol,https://tcmsp-e.com/molecule.php?qn=449,412.77,7.64,1,1,43.83,1.44,1.00,0.76,0.22,5.57
MOL002668,Worenine,https://tcmsp-e.com/molecule.php?qn=2668,334.37,3.73,0,4,45.83,1.22,0.24,0.87,0.27,8.41
MOL002670,Cavidine,https://tcmsp-e.com/molecule.php?qn=2670,353.45,3.72,0,5,35.64,1.08,0.63,0.81,0.00,5.78
MOL002671,Candletoxin A,https://tcmsp-e.com/molecule.php?qn=2671,608.79,3.63,2,9,31.81,-0.39,-1.24,0.69,0.32,-0.36
MOL002672,Hericenone H,https://tcmsp-e.com/molecule.php?qn=2672,580.88,9.95,0,6,39.0,0.80,0.16,0.63,0.22,3.62
MOL002673,Hispidone,https://tcmsp-e.com/molecule.php?qn=2673,472.78,4.46,2,4,36.18,0.12,-0.72,0.83,0.25,5.08
MOL000358,beta-sitosterol,https://tcmsp-e.com/molecule.php?qn=358,414.79,8.08,1,1,36.91,1.32,0.99,0.75,0.23,5.36
MOL000622,Magnograndiolide,https://tcmsp-e.com/molecule.php?qn=622,266.37,1.18,2,4,63.71,0.02,-0.24,0.19,0.30,3.17
MOL000762,Palmidin A,https://tcmsp-e.com/molecule.php?qn=762,510.52,4.52,6,8,35.36,-0.38,-1.47,0.65,0.39,33.17
MOL000785,palmatine,https://tcmsp-e.com/molecule.php?qn=785,352.44,3.65,0,4,64.6,1.33,0.37,0.65,0.13,2.25
MOL000787,Fumarine,https://tcmsp-e.com/molecule.php?qn=787,353.40,2.95,0,6,59.26,0.56,-0.13,0.83,0.30,23.46
MOL000790,Isocorypalmine,https://tcmsp-e.com/molecule.php?qn=790,341.44,3.35,1,5,35.77,0.85,0.43,0.59,0.21,2.47
MOL000098,quercetin,https://tcmsp-e.com/molecule.php?qn=98,302.25,1.50,5,7,46.43,0.05,-0.77,0.28,0.38,14.40
MOL001131,phellamurin_qt,https://tcmsp-e.com/molecule.php?qn=1131,356.40,3.61,4,6,56.6,0.14,-0.50,0.39,0.38,14.89
MOL001455,(S)-Canadine,https://tcmsp-e.com/molecule.php?qn=1455,339.42,3.40,0,5,53.83,1.01,0.64,0.77,0.19,6.56
MOL001771,poriferast-5-en-3beta-ol,https://tcmsp-e.com/molecule.php?qn=1771,414.79,8.08,1,1,36.91,1.45,1.14,0.75,0.00,5.07
MOL002331,N-Methylflindersine,https://tcmsp-e.com/molecule.php?qn=2331,241.31,1.72,0,3,32.36,1.35,1.10,0.18,0.33,0.41
MOL002894,berberrubine,https://tcmsp-e.com/molecule.php?qn=2894,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46
MOL005438,campesterol,https://tcmsp-e.com/molecule.php?qn=5438,400.76,7.63,1,1,37.58,1.34,0.95,0.71,0.22,4.83
MOL006392,dihydroniloticin,https://tcmsp-e.com/molecule.php?qn=6392,458.80,5.66,2,3,36.43,0.64,0.10,0.82,0.24,6.46
MOL006401,melianone,https://tcmsp-e.com/molecule.php?qn=6401,470.76,4.76,1,4,40.53,0.40,-0.31,0.78,0.27,6.09
MOL006413,phellochin,https://tcmsp-e.com/molecule.php?qn=6413,488.83,5.26,2,4,35.41,0.47,-0.01,0.82,0.24,6.64
MOL006422,thalifendine,https://tcmsp-e.com/molecule.php?qn=6422,322.36,3.20,1,4,44.41,1.12,0.21,0.73,0.22,5.99
