mol_id,mol_name,target_name,target_id,drugbank_id,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife,mol_url
MOL001454,berberine,"Nitric oxide synthase, inducible",3,7,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Prostaglandin G/H synthase 1,6,20,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Potassium voltage-gated channel subfamily H member 2,37,101,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Estrogen receptor,46,136,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Androgen receptor,48,146,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Sodium channel protein type 5 subunit alpha,70,220,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Coagulation factor Xa,79,239,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Prostaglandin G/H synthase 2,94,290,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,"Nitric-oxide synthase, endothelial",95,291,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Retinoic acid receptor RXR-alpha,158,459,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Beta-2 adrenergic receptor,261,766,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Heat shock protein HSP 90,444,1939,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,mRNA of PKA Catalytic Subunit C-alpha,699,6263,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Trypsin-1,2928,3176,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Nuclear receptor coactivator 2,3276,6241,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",3868,695,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001454,berberine,Calmodulin,3907,465,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,https://tcmsp-e.com/molecule.php?qn=1454
MOL001458,coptisine,"Nitric oxide synthase, inducible",3,7,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33,https://tcmsp-e.com/molecule.php?qn=1458
MOL001458,coptisine,Prostaglandin G/H synthase 1,6,20,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33,https://tcmsp-e.com/molecule.php?qn=1458
MOL001458,coptisine,Potassium voltage-gated channel subfamily H member 2,37,101,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33,https://tcmsp-e.com/molecule.php?qn=1458
MOL001458,coptisine,Estrogen receptor,46,136,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33,https://tcmsp-e.com/molecule.php?qn=1458
MOL001458,coptisine,Androgen receptor,48,146,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33,https://tcmsp-e.com/molecule.php?qn=1458
MOL001458,coptisine,Sodium channel protein type 5 subunit alpha,70,220,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33,https://tcmsp-e.com/molecule.php?qn=1458
MOL001458,coptisine,Prostaglandin G/H synthase 2,94,290,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33,https://tcmsp-e.com/molecule.php?qn=1458
MOL001458,coptisine,"Nitric-oxide synthase, endothelial",95,291,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33,https://tcmsp-e.com/molecule.php?qn=1458
MOL001458,coptisine,Trypsin-1,2928,3176,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33,https://tcmsp-e.com/molecule.php?qn=1458
MOL002636,Kihadalactone A,N/A,N/A,N/A,512.70,3.96,0,7,34.21,0.19,-0.51,0.82,0.29,-6.27,https://tcmsp-e.com/molecule.php?qn=2636
MOL013352,Obacunone,N/A,N/A,N/A,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,https://tcmsp-e.com/molecule.php?qn=13352
MOL002641,Phellavin_qt,Prostaglandin G/H synthase 2,94,290,374.42,2.51,5,7,35.86,-0.41,-1.32,0.44,0.33,15.81,https://tcmsp-e.com/molecule.php?qn=2641
MOL002641,Phellavin_qt,Coagulation factor VII,123,369,374.42,2.51,5,7,35.86,-0.41,-1.32,0.44,0.33,15.81,https://tcmsp-e.com/molecule.php?qn=2641
MOL002641,Phellavin_qt,Heat shock protein HSP 90,444,1939,374.42,2.51,5,7,35.86,-0.41,-1.32,0.44,0.33,15.81,https://tcmsp-e.com/molecule.php?qn=2641
MOL002643,delta 7-stigmastenol,Progesterone receptor,209,614,414.79,8.08,1,1,37.42,1.30,0.83,0.75,0.22,5.27,https://tcmsp-e.com/molecule.php?qn=2643
MOL002644,Phellopterin,Thrombin,17,54,300.33,3.64,0,5,40.19,0.98,0.48,0.28,0.24,-1.64,https://tcmsp-e.com/molecule.php?qn=2644
MOL002644,Phellopterin,Muscarinic acetylcholine receptor M1,38,103,300.33,3.64,0,5,40.19,0.98,0.48,0.28,0.24,-1.64,https://tcmsp-e.com/molecule.php?qn=2644
MOL002644,Phellopterin,Sodium channel protein type 5 subunit alpha,70,220,300.33,3.64,0,5,40.19,0.98,0.48,0.28,0.24,-1.64,https://tcmsp-e.com/molecule.php?qn=2644
MOL002644,Phellopterin,Prostaglandin G/H synthase 2,94,290,300.33,3.64,0,5,40.19,0.98,0.48,0.28,0.24,-1.64,https://tcmsp-e.com/molecule.php?qn=2644
MOL002644,Phellopterin,Retinoic acid receptor RXR-alpha,158,459,300.33,3.64,0,5,40.19,0.98,0.48,0.28,0.24,-1.64,https://tcmsp-e.com/molecule.php?qn=2644
MOL002644,Phellopterin,Alpha-1B adrenergic receptor,216,632,300.33,3.64,0,5,40.19,0.98,0.48,0.28,0.24,-1.64,https://tcmsp-e.com/molecule.php?qn=2644
MOL002644,Phellopterin,"mRNA of Protein-tyrosine phosphatase, non-receptor type 1",229,687,300.33,3.64,0,5,40.19,0.98,0.48,0.28,0.24,-1.64,https://tcmsp-e.com/molecule.php?qn=2644
MOL002644,Phellopterin,Beta-2 adrenergic receptor,261,766,300.33,3.64,0,5,40.19,0.98,0.48,0.28,0.24,-1.64,https://tcmsp-e.com/molecule.php?qn=2644
MOL002644,Phellopterin,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,300.33,3.64,0,5,40.19,0.98,0.48,0.28,0.24,-1.64,https://tcmsp-e.com/molecule.php?qn=2644
MOL002644,Phellopterin,Dipeptidyl peptidase IV,332,952,300.33,3.64,0,5,40.19,0.98,0.48,0.28,0.24,-1.64,https://tcmsp-e.com/molecule.php?qn=2644
