mol_id,mol_name,mol_url,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001458,coptisine,https://tcmsp-e.com/molecule.php?qn=1458,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33
MOL001965,Dauricine (8CI),https://tcmsp-e.com/molecule.php?qn=1965,624.84,7.22,1,8,23.65,0.90,0.03,0.37,0.22,
MOL000200,(S)-(+)-alpha-Phellandrene,https://tcmsp-e.com/molecule.php?qn=200,136.26,3.25,0,0,27.9,1.87,2.20,0.02,0.29,
MOL002329,Javanicin,https://tcmsp-e.com/molecule.php?qn=2329,508.52,-1.24,0,12,17.38,-0.86,-1.34,0.78,0.34,
MOL000234,L-Limonen,https://tcmsp-e.com/molecule.php?qn=234,136.26,3.50,0,0,38.09,1.83,2.13,0.02,0.29,11.64
MOL002365,(s)-carvone,https://tcmsp-e.com/molecule.php?qn=2365,150.24,2.36,0,1,47.43,1.34,1.62,0.03,0.33,11.80
MOL002635,(±)-lyoniresinol,https://tcmsp-e.com/molecule.php?qn=2635,420.50,2.21,4,8,4.87,-0.27,-1.22,0.54,0.15,
MOL002636,Kihadalactone A,https://tcmsp-e.com/molecule.php?qn=2636,512.70,3.96,0,7,34.21,0.19,-0.51,0.82,0.29,-6.27
MOL002637,Obacunoic acid,https://tcmsp-e.com/molecule.php?qn=2637,472.58,2.07,2,8,20.69,-0.74,-1.28,0.79,0.33,
MOL013352,Obacunone,https://tcmsp-e.com/molecule.php?qn=13352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04
MOL002639,Obamegine,https://tcmsp-e.com/molecule.php?qn=2639,594.76,6.72,2,8,2.55,0.95,0.25,0.11,0.26,
MOL002640,phellavin,https://tcmsp-e.com/molecule.php?qn=2640,536.58,0.60,8,12,3.9,-1.95,-3.05,0.83,0.30,
MOL002641,Phellavin_qt,https://tcmsp-e.com/molecule.php?qn=2641,374.42,2.51,5,7,35.86,-0.41,-1.32,0.44,0.33,15.81
MOL002642,phellodendrine,https://tcmsp-e.com/molecule.php?qn=2642,342.45,3.19,2,4,2.61,0.87,0.19,0.58,0.18,
MOL002643,delta 7-stigmastenol,https://tcmsp-e.com/molecule.php?qn=2643,414.79,8.08,1,1,37.42,1.30,0.83,0.75,0.22,5.27
MOL002644,Phellopterin,https://tcmsp-e.com/molecule.php?qn=2644,300.33,3.64,0,5,40.19,0.98,0.48,0.28,0.24,-1.64
MOL002645,PEA,https://tcmsp-e.com/molecule.php?qn=2645,121.20,1.26,2,1,42.96,1.11,0.94,0.02,0.35,-2.53
MOL002646,Vanilloloside,https://tcmsp-e.com/molecule.php?qn=2646,316.34,-0.96,5,8,8.58,-0.95,-1.49,0.21,0.24,
MOL002647,Vanillyl alcohol,https://tcmsp-e.com/molecule.php?qn=2647,154.18,0.94,2,3,14.98,0.55,0.24,0.03,0.25,
MOL002648,"(4R)-limonene 1beta,2beta-epoxide",https://tcmsp-e.com/molecule.php?qn=2648,152.26,2.27,0,1,41.43,1.56,1.87,0.05,0.30,11.57
MOL002649,Coniferin,https://tcmsp-e.com/molecule.php?qn=2649,342.38,-0.49,5,8,10.28,-1.00,-1.74,0.27,0.27,
MOL002650,Coniferol,https://tcmsp-e.com/molecule.php?qn=2650,180.22,1.41,2,3,44.88,0.55,0.02,0.05,0.32,2.71
MOL002651,Dehydrotanshinone II A,https://tcmsp-e.com/molecule.php?qn=2651,292.35,4.22,0,3,43.76,1.02,0.52,0.4,0.33,23.71
MOL002652,delta7-Dehydrosophoramine,https://tcmsp-e.com/molecule.php?qn=2652,242.35,1.09,0,3,54.45,0.99,0.75,0.25,0.22,5.52
MOL002653,Dictamine,https://tcmsp-e.com/molecule.php?qn=2653,199.22,2.36,0,3,31.39,1.29,1.01,0.11,0.28,1.14
MOL002654,Amurensin,https://tcmsp-e.com/molecule.php?qn=2654,534.56,0.62,8,12,3.74,-1.59,-2.60,0.83,0.31,
MOL002655,Amurensin_qt,https://tcmsp-e.com/molecule.php?qn=2655,372.40,2.53,5,7,26.37,-0.13,-1.13,0.44,0.34,
MOL002656,dihydroniloticin,https://tcmsp-e.com/molecule.php?qn=2656,458.80,5.66,2,3,36.43,0.65,0.03,0.81,0.25,7.04
MOL002657,hispidol B,https://tcmsp-e.com/molecule.php?qn=2657,476.82,4.89,4,4,19.72,0.20,-0.50,0.81,0.21,
MOL002658,kihadalactone B,https://tcmsp-e.com/molecule.php?qn=2658,530.72,3.14,0,8,16.71,-0.30,-1.04,0.79,0.34,
MOL002659,kihadanin A,https://tcmsp-e.com/molecule.php?qn=2659,486.56,1.76,1,9,31.6,-0.93,-1.36,0.7,0.38,2.68
MOL002660,niloticin,https://tcmsp-e.com/molecule.php?qn=2660,456.78,5.62,1,3,41.41,0.54,-0.20,0.82,0.27,5.19
MOL002661,nomilin,https://tcmsp-e.com/molecule.php?qn=2661,514.62,2.12,0,9,17.77,-0.27,-0.74,0.67,0.30,
MOL002662,rutaecarpine,https://tcmsp-e.com/molecule.php?qn=2662,287.34,3.36,1,3,40.3,1.13,0.71,0.6,0.33,8.21
MOL002663,Skimmianin,https://tcmsp-e.com/molecule.php?qn=2663,259.28,2.33,0,5,40.14,1.26,1.10,0.2,0.14,-2.43
MOL002664,Fagarine,https://tcmsp-e.com/molecule.php?qn=2664,229.25,2.35,0,4,72.23,1.08,0.96,0.15,0.20,-0.20
MOL002665,Ferulic Acid,https://tcmsp-e.com/molecule.php?qn=2665,192.23,2.00,2,3,40.43,0.96,0.56,0.06,0.38,2.35
MOL002666,Chelerythrine,https://tcmsp-e.com/molecule.php?qn=2666,332.37,4.29,0,4,34.18,1.24,0.28,0.78,0.36,6.32
MOL000449,Stigmasterol,https://tcmsp-e.com/molecule.php?qn=449,412.77,7.64,1,1,43.83,1.44,1.00,0.76,0.22,5.57
MOL002668,Worenine,https://tcmsp-e.com/molecule.php?qn=2668,334.37,3.73,0,4,45.83,1.22,0.24,0.87,0.27,8.41
MOL002669,Campesteryl ferulate,https://tcmsp-e.com/molecule.php?qn=2669,576.94,9.86,1,4,22.1,1.10,0.06,0.59,0.26,
MOL002670,Cavidine,https://tcmsp-e.com/molecule.php?qn=2670,353.45,3.72,0,5,35.64,1.08,0.63,0.81,0.00,5.78
MOL002671,Candletoxin A,https://tcmsp-e.com/molecule.php?qn=2671,608.79,3.63,2,9,31.81,-0.39,-1.24,0.69,0.32,-0.36
MOL002672,Hericenone H,https://tcmsp-e.com/molecule.php?qn=2672,580.88,9.95,0,6,39.0,0.80,0.16,0.63,0.22,3.62
MOL002673,Hispidone,https://tcmsp-e.com/molecule.php?qn=2673,472.78,4.46,2,4,36.18,0.12,-0.72,0.83,0.25,5.08
MOL000347,Syrigin,https://tcmsp-e.com/molecule.php?qn=347,372.41,-0.51,5,9,14.64,-1.01,-1.81,0.32,0.23,
MOL000348,"4-[(Z)-3-hydroxyprop-1-enyl]-2,6-dimethoxyphenol",https://tcmsp-e.com/molecule.php?qn=348,210.25,1.39,2,4,49.15,0.56,0.03,0.06,0.20,3.88
MOL000358,beta-sitosterol,https://tcmsp-e.com/molecule.php?qn=358,414.79,8.08,1,1,36.91,1.32,0.99,0.75,0.23,5.36
MOL000622,Magnograndiolide,https://tcmsp-e.com/molecule.php?qn=622,266.37,1.18,2,4,63.71,0.02,-0.24,0.19,0.30,3.17
MOL000741,"(2S,3S)-3,5,7-trihydroxy-2-(4-hydroxyphenyl)chroman-4-one",https://tcmsp-e.com/molecule.php?qn=741,288.27,1.75,4,6,24.15,-0.06,-0.62,0.24,0.41,
MOL000762,Palmidin A,https://tcmsp-e.com/molecule.php?qn=762,510.52,4.52,6,8,35.36,-0.38,-1.47,0.65,0.39,33.17
MOL000764,magnoflorine,https://tcmsp-e.com/molecule.php?qn=764,342.45,3.12,2,4,26.69,1.09,0.61,0.55,0.14,
