mol_id,mol_name,target_name,target_id,drugbank_id,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife
MOL001454,berberine,"Nitric oxide synthase, inducible",3,7,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Prostaglandin G/H synthase 1,6,20,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Potassium voltage-gated channel subfamily H member 2,37,101,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Estrogen receptor,46,136,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Androgen receptor,48,146,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Sodium channel protein type 5 subunit alpha,70,220,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Coagulation factor Xa,79,239,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Prostaglandin G/H synthase 2,94,290,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,"Nitric-oxide synthase, endothelial",95,291,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Retinoic acid receptor RXR-alpha,158,459,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Beta-2 adrenergic receptor,261,766,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Heat shock protein HSP 90,444,1939,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,mRNA of PKA Catalytic Subunit C-alpha,699,6263,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Trypsin-1,2928,3176,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Nuclear receptor coactivator 2,3276,6241,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",3868,695,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001454,berberine,Calmodulin,3907,465,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57
MOL001458,coptisine,"Nitric oxide synthase, inducible",3,7,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33
MOL001458,coptisine,Prostaglandin G/H synthase 1,6,20,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33
MOL001458,coptisine,Potassium voltage-gated channel subfamily H member 2,37,101,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33
MOL001458,coptisine,Estrogen receptor,46,136,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33
MOL001458,coptisine,Androgen receptor,48,146,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33
MOL001458,coptisine,Sodium channel protein type 5 subunit alpha,70,220,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33
MOL001458,coptisine,Prostaglandin G/H synthase 2,94,290,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33
MOL001458,coptisine,"Nitric-oxide synthase, endothelial",95,291,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33
MOL001458,coptisine,Trypsin-1,2928,3176,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33
MOL001965,Dauricine (8CI),Prostaglandin G/H synthase 2,94,290,624.84,7.22,1,8,23.65,0.90,0.03,0.37,0.22,
MOL001965,Dauricine (8CI),Carbonic anhydrase II,117,357,624.84,7.22,1,8,23.65,0.90,0.03,0.37,0.22,
MOL001965,Dauricine (8CI),Beta-lactamase,499,2478,624.84,7.22,1,8,23.65,0.90,0.03,0.37,0.22,
MOL001965,Dauricine (8CI),Amine oxidase [flavin-containing] B,565,3939,624.84,7.22,1,8,23.65,0.90,0.03,0.37,0.22,
MOL001965,Dauricine (8CI),Amine oxidase [flavin-containing] A,566,3941,624.84,7.22,1,8,23.65,0.90,0.03,0.37,0.22,
MOL001965,Dauricine (8CI),Lysozyme,1172,2300,624.84,7.22,1,8,23.65,0.90,0.03,0.37,0.22,
MOL001965,Dauricine (8CI),Bacillolysin,1961,2457,624.84,7.22,1,8,23.65,0.90,0.03,0.37,0.22,
MOL000200,(S)-(+)-alpha-Phellandrene,Acetylcholinesterase,165,474,136.26,3.25,0,0,27.9,1.87,2.20,0.02,0.29,
MOL000200,(S)-(+)-alpha-Phellandrene,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,136.26,3.25,0,0,27.9,1.87,2.20,0.02,0.29,
MOL000200,(S)-(+)-alpha-Phellandrene,Dipeptidyl peptidase IV,332,952,136.26,3.25,0,0,27.9,1.87,2.20,0.02,0.29,
MOL000200,(S)-(+)-alpha-Phellandrene,Cytochrome P450-cam,1143,2298,136.26,3.25,0,0,27.9,1.87,2.20,0.02,0.29,
MOL002329,Javanicin,N/A,N/A,N/A,508.52,-1.24,0,12,17.38,-0.86,-1.34,0.78,0.34,
MOL000234,L-Limonen,Prostaglandin G/H synthase 2,94,290,136.26,3.50,0,0,38.09,1.83,2.13,0.02,0.29,11.64
MOL000234,L-Limonen,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,136.26,3.50,0,0,38.09,1.83,2.13,0.02,0.29,11.64
MOL000234,L-Limonen,Alcohol dehydrogenase 1C,727,517,136.26,3.50,0,0,38.09,1.83,2.13,0.02,0.29,11.64
MOL000234,L-Limonen,Cytochrome P450-cam,1143,2298,136.26,3.50,0,0,38.09,1.83,2.13,0.02,0.29,11.64
MOL000234,L-Limonen,Alcohol dehydrogenase 1B,726,444,136.26,3.50,0,0,38.09,1.83,2.13,0.02,0.29,11.64
MOL000234,L-Limonen,DNA topoisomerase II,287,817,136.26,3.50,0,0,38.09,1.83,2.13,0.02,0.29,11.64
MOL002365,(s)-carvone,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423,150.24,2.36,0,1,47.43,1.34,1.62,0.03,0.33,11.80
MOL002365,(s)-carvone,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,150.24,2.36,0,1,47.43,1.34,1.62,0.03,0.33,11.80
MOL002365,(s)-carvone,Cytochrome P450-cam,1143,2298,150.24,2.36,0,1,47.43,1.34,1.62,0.03,0.33,11.80
